% Generated by make_fake_data.py via real TMM forward calculation
% nm	Psi	Delta	Err(Psi)	Err(Delta)
% AOI = 65.000
300.000	27.5220	68.8344	0.020	0.100
310.000	27.2451	68.1608	0.020	0.100
320.000	26.9404	67.0640	0.020	0.100
330.000	26.6374	66.8867	0.020	0.100
340.000	26.4149	67.6226	0.020	0.100
350.000	26.5103	69.2970	0.020	0.100
360.000	26.9823	68.7622	0.020	0.100
370.000	27.4030	69.7058	0.020	0.100
380.000	27.6702	67.9725	0.020	0.100
390.000	27.8366	66.7312	0.020	0.100
400.000	27.9309	68.6522	0.020	0.100
410.000	28.0076	67.3142	0.020	0.100
420.000	28.0652	69.4594	0.020	0.100
430.000	28.1309	66.8340	0.020	0.100
440.000	28.1700	70.9326	0.020	0.100
450.000	28.2146	68.1518	0.020	0.100
460.000	28.3389	73.3924	0.020	0.100
470.000	28.6390	71.2552	0.020	0.100
480.000	29.3761	78.7719	0.020	0.100
490.000	31.0067	82.4009	0.020	0.100
500.000	33.5007	79.8604	0.020	0.100
510.000	35.9356	76.6983	0.020	0.100
520.000	37.7046	79.4061	0.020	0.100
530.000	38.9359	74.2507	0.020	0.100
540.000	39.8380	74.5087	0.020	0.100
550.000	40.5213	71.7707	0.020	0.100
560.000	41.0848	65.9580	0.020	0.100
570.000	41.5379	66.9715	0.020	0.100
580.000	41.9142	62.2921	0.020	0.100
590.000	42.2355	61.5216	0.020	0.100
600.000	42.5126	61.4413	0.020	0.100
610.000	42.7499	57.9752	0.020	0.100
620.000	42.9424	56.5774	0.020	0.100
630.000	43.1350	55.8166	0.020	0.100
640.000	43.2947	54.2611	0.020	0.100
650.000	43.4366	53.7674	0.020	0.100
660.000	43.5545	52.0933	0.020	0.100
670.000	43.6601	51.9450	0.020	0.100
680.000	43.7521	49.8407	0.020	0.100
690.000	43.8322	49.4051	0.020	0.100
700.000	43.8991	47.9213	0.020	0.100
710.000	43.9513	47.0424	0.020	0.100
720.000	43.9904	46.3151	0.020	0.100
730.000	44.0399	45.4253	0.020	0.100
740.000	44.0646	44.6472	0.020	0.100
750.000	44.1046	44.4380	0.020	0.100
760.000	44.1345	43.1988	0.020	0.100
770.000	44.1528	42.5429	0.020	0.100
780.000	44.1853	42.3516	0.020	0.100
790.000	44.2102	41.2925	0.020	0.100
800.000	44.2251	41.1547	0.020	0.100
810.000	44.2446	40.6222	0.020	0.100
820.000	44.2774	39.9870	0.020	0.100
830.000	44.2981	39.4219	0.020	0.100
840.000	44.3103	38.8612	0.020	0.100
850.000	44.3162	38.3314	0.020	0.100
860.000	44.3386	37.7928	0.020	0.100
870.000	44.3519	37.3046	0.020	0.100
880.000	44.3626	36.4069	0.020	0.100
890.000	44.3730	36.1761	0.020	0.100
900.000	44.3893	35.4999	0.020	0.100
910.000	44.4043	35.4604	0.020	0.100
920.000	44.4111	35.0519	0.020	0.100
930.000	44.4242	34.2315	0.020	0.100
940.000	44.4333	34.1146	0.020	0.100
950.000	44.4432	33.5877	0.020	0.100
960.000	44.4569	33.3413	0.020	0.100
970.000	44.4662	32.6443	0.020	0.100
980.000	44.4728	32.3147	0.020	0.100
990.000	44.4802	32.0046	0.020	0.100
1000.000	44.4877	31.6009	0.020	0.100
1010.000	44.4938	31.2766	0.020	0.100
1020.000	44.5023	31.2020	0.020	0.100
1030.000	44.5071	30.8762	0.020	0.100
1040.000	44.5182	30.2934	0.020	0.100
1050.000	44.5256	29.9829	0.020	0.100
1060.000	44.5515	29.8136	0.020	0.100
1070.000	44.5566	29.5306	0.020	0.100
1080.000	44.5554	29.0377	0.020	0.100
1090.000	44.5677	28.7746	0.020	0.100
1100.000	44.5774	28.5308	0.020	0.100
1110.000	44.5840	28.1822	0.020	0.100
1120.000	44.5871	27.9901	0.020	0.100
1130.000	44.5971	27.6831	0.020	0.100
1140.000	44.6085	27.3861	0.020	0.100
1150.000	44.6089	27.2290	0.020	0.100
1160.000	44.6110	26.8756	0.020	0.100
1170.000	44.6061	26.6796	0.020	0.100
1180.000	44.6189	26.5579	0.020	0.100
1190.000	44.6309	26.3237	0.020	0.100
1200.000	44.6341	26.0622	0.020	0.100
1210.000	44.6361	25.7272	0.020	0.100
1220.000	44.6400	25.5068	0.020	0.100
1230.000	44.6458	25.2904	0.020	0.100
1240.000	44.6452	25.2376	0.020	0.100
1250.000	44.6492	24.9991	0.020	0.100
1260.000	44.6480	24.7869	0.020	0.100
1270.000	44.6628	24.5335	0.020	0.100
1280.000	44.6622	24.2770	0.020	0.100
1290.000	44.6648	24.0231	0.020	0.100
1300.000	44.6703	23.8883	0.020	0.100
1310.000	44.6693	23.7708	0.020	0.100
1320.000	44.6744	23.5873	0.020	0.100
1330.000	44.6741	23.2918	0.020	0.100
1340.000	44.6779	23.1893	0.020	0.100
1350.000	44.6785	23.0199	0.020	0.100
1360.000	44.6865	22.7858	0.020	0.100
1370.000	44.6823	22.5816	0.020	0.100
1380.000	44.6847	22.4146	0.020	0.100
1390.000	44.6840	22.3790	0.020	0.100
1400.000	44.6887	22.1042	0.020	0.100
1410.000	44.6888	22.0512	0.020	0.100
1420.000	44.6815	21.8875	0.020	0.100
1430.000	44.6851	21.6753	0.020	0.100
1440.000	44.6892	21.5094	0.020	0.100
1450.000	44.6935	21.2863	0.020	0.100
1460.000	44.7000	21.1529	0.020	0.100
1470.000	44.6997	21.0065	0.020	0.100
1480.000	44.6983	20.8862	0.020	0.100
1490.000	44.6990	20.6927	0.020	0.100
1500.000	44.7077	20.5365	0.020	0.100
1510.000	44.7055	20.4946	0.020	0.100
1520.000	44.7087	20.3661	0.020	0.100
1530.000	44.7047	20.1398	0.020	0.100
1540.000	44.7048	19.9962	0.020	0.100
1550.000	44.7075	19.9060	0.020	0.100
1560.000	44.7107	19.7801	0.020	0.100
1570.000	44.7148	19.6143	0.020	0.100
1580.000	44.7124	19.5585	0.020	0.100
1590.000	44.7122	19.4550	0.020	0.100
1600.000	44.7210	19.2692	0.020	0.100
1610.000	44.7165	19.1653	0.020	0.100
1620.000	44.7227	19.0407	0.020	0.100
1630.000	44.7135	18.8508	0.020	0.100
1640.000	44.7210	18.7587	0.020	0.100
1650.000	44.7189	18.6351	0.020	0.100
1660.000	44.7107	18.6033	0.020	0.100
1670.000	44.7176	18.3732	0.020	0.100
1680.000	44.7172	18.2701	0.020	0.100
1690.000	44.7156	18.1205	0.020	0.100
1700.000	44.6950	18.1571	0.020	0.100
1710.000	44.6928	18.1461	0.020	0.100
1720.000	44.6906	18.0900	0.020	0.100
1730.000	44.6884	18.1828	0.020	0.100
1740.000	44.6861	18.1069	0.020	0.100
1750.000	44.6838	18.1400	0.020	0.100
1760.000	44.6815	18.1974	0.020	0.100
1770.000	44.6792	18.2214	0.020	0.100
1780.000	44.6768	18.2301	0.020	0.100
1790.000	44.6744	18.2178	0.020	0.100
1800.000	44.6720	18.1694	0.020	0.100
1810.000	44.6695	18.1768	0.020	0.100
1820.000	44.6670	18.2657	0.020	0.100
1830.000	44.6644	18.1840	0.020	0.100
1840.000	44.6619	18.2626	0.020	0.100
1850.000	44.6593	18.3222	0.020	0.100
