nm	Psi_65	Del_65	Psi_70	Del_70	Psi_75	Del_75
300.0000	27.5220	68.8344	26.6766	87.8026	27.7145	111.7886
310.0000	27.2451	68.1608	26.3098	87.0220	27.2990	110.8958
320.0000	26.9404	67.0640	25.9518	86.5357	26.9340	111.1661
330.0000	26.6374	66.8867	25.6346	87.3689	26.6504	110.0684
340.0000	26.4149	67.6226	25.4450	88.1201	26.5301	110.3435
350.0000	26.5103	69.2970	25.6358	89.9855	26.8016	113.5578
360.0000	26.9823	68.7622	26.1584	90.1399	27.3025	112.0156
370.0000	27.4030	69.7058	26.5593	89.5745	27.6215	112.7385
380.0000	27.6702	67.9725	26.7961	87.6621	27.7890	110.1172
390.0000	27.8366	66.7312	26.9338	89.0056	27.8737	109.9454
400.0000	27.9309	68.6522	27.0144	85.5983	27.9274	109.4344
410.0000	28.0076	67.3142	27.0921	85.7946	27.9961	108.7388
420.0000	28.0652	69.4594	27.1656	89.3221	28.0786	109.5507
430.0000	28.1309	66.8340	27.2678	85.8875	28.2101	109.9067
440.0000	28.1700	70.9326	27.3630	85.7900	28.3580	109.0976
450.0000	28.2146	68.1518	27.4978	92.2244	28.5780	108.5395
460.0000	28.3389	73.3924	27.7582	88.3531	28.9549	114.5575
470.0000	28.6390	71.2552	28.2455	93.5148	29.5777	110.6039
480.0000	29.3761	78.7719	29.2270	99.4548	30.6820	113.2976
490.0000	31.0067	82.4009	31.0721	101.7185	32.5111	120.3866
500.0000	33.5007	79.8604	33.6078	94.3878	34.8029	113.3670
510.0000	35.9356	76.6983	35.9491	95.4101	36.8123	114.9893
520.0000	37.7046	79.4061	37.6189	93.0904	38.2179	109.1253
530.0000	38.9359	74.2507	38.7807	90.2114	39.1933	107.5227
540.0000	39.8380	74.5087	39.6386	88.9072	39.9180	109.4376
550.0000	40.5213	71.7707	40.2948	84.4486	40.4774	103.1998
560.0000	41.0848	65.9580	40.8420	80.9446	40.9491	104.7522
570.0000	41.5379	66.9715	41.2869	82.7866	41.3372	98.5513
580.0000	41.9142	62.2921	41.6601	80.7775	41.6663	96.2412
590.0000	42.2355	61.5216	41.9826	78.2245	41.9549	94.3624
600.0000	42.5126	61.4413	42.2632	74.3801	42.2084	91.9570
610.0000	42.7499	57.9752	42.5061	72.3844	42.4307	94.2573
620.0000	42.9424	56.5774	42.7041	71.0701	42.6128	90.2883
630.0000	43.1350	55.8166	42.9053	69.3124	42.8020	90.7316
640.0000	43.2947	54.2611	43.0729	68.1794	42.9603	89.1791
650.0000	43.4366	53.7674	43.2231	68.6601	43.1036	85.5507
660.0000	43.5545	52.0933	43.3482	65.6063	43.2232	84.0689
670.0000	43.6601	51.9450	43.4608	65.0891	43.3316	84.7106
680.0000	43.7521	49.8407	43.5594	64.4840	43.4269	80.7323
690.0000	43.8322	49.4051	43.6454	62.3953	43.5102	80.1772
700.0000	43.8991	47.9213	43.7172	60.8961	43.5796	78.9040
710.0000	43.9513	47.0424	43.7727	59.8192	43.6321	77.3337
720.0000	43.9904	46.3151	43.8137	60.1262	43.6696	76.4599
730.0000	44.0399	45.4253	43.8676	58.7398	43.7224	74.9076
740.0000	44.0646	44.6472	43.8927	57.9141	43.7438	74.5411
750.0000	44.1046	44.4380	43.9364	57.2394	43.7868	72.9024
760.0000	44.1345	43.1988	43.9685	55.4145	43.8173	72.0286
770.0000	44.1528	42.5429	43.9873	55.4802	43.8333	72.5229
780.0000	44.1853	42.3516	44.0232	54.5958	43.8691	70.1542
790.0000	44.2102	41.2925	44.0502	52.9481	43.8948	69.8015
800.0000	44.2251	41.1547	44.0659	52.6591	43.9091	69.2687
810.0000	44.2446	40.6222	44.0870	51.7284	43.9292	67.7461
820.0000	44.2774	39.9870	44.1243	51.6073	43.9684	66.8071
830.0000	44.2981	39.4219	44.1475	50.1579	43.9918	66.4028
840.0000	44.3103	38.8612	44.1604	49.8512	44.0034	66.3684
850.0000	44.3162	38.3314	44.1657	49.6006	44.0062	65.8024
860.0000	44.3386	37.7928	44.1913	48.1952	44.0331	65.0470
870.0000	44.3519	37.3046	44.2061	48.3446	44.0477	64.2738
880.0000	44.3626	36.4069	44.2177	47.3860	44.0586	63.1342
890.0000	44.3730	36.1761	44.2291	46.5223	44.0694	61.6788
900.0000	44.3893	35.4999	44.2477	45.9449	44.0890	61.9593
910.0000	44.4043	35.4604	44.2649	45.9150	44.1072	61.5163
920.0000	44.4111	35.0519	44.2722	45.0367	44.1136	60.8511
930.0000	44.4242	34.2315	44.2872	44.9742	44.1294	59.4412
940.0000	44.4333	34.1146	44.2974	44.4500	44.1395	59.5696
950.0000	44.4432	33.5877	44.3087	43.4150	44.1511	58.9621
960.0000	44.4569	33.3413	44.3246	43.4121	44.1686	57.9026
970.0000	44.4662	32.6443	44.3352	42.7055	44.1794	57.6885
980.0000	44.4728	32.3147	44.3425	42.0663	44.1867	57.1519
990.0000	44.4802	32.0046	44.3510	41.5528	44.1953	55.8104
1000.0000	44.4877	31.6009	44.3595	41.2912	44.2039	55.3906
1010.0000	44.4938	31.2766	44.3663	40.7424	44.2108	54.5673
1020.0000	44.5023	31.2020	44.3762	40.2666	44.2214	54.2334
1030.0000	44.5071	30.8762	44.3815	40.2942	44.2264	53.5830
1040.0000	44.5182	30.2934	44.3948	39.7062	44.2415	53.2181
1050.0000	44.5256	29.9829	44.4034	39.3842	44.2509	52.5809
1060.0000	44.5515	29.8136	44.4353	38.9778	44.2892	52.0759
1070.0000	44.5566	29.5306	44.4412	38.2204	44.2954	51.7614
1080.0000	44.5554	29.0377	44.4392	37.9776	44.2916	51.0359
1090.0000	44.5677	28.7746	44.4541	37.5602	44.3093	51.3335
1100.0000	44.5774	28.5308	44.4658	37.2453	44.3230	50.8705
1110.0000	44.5840	28.1822	44.4738	36.8043	44.3319	49.7088
1120.0000	44.5871	27.9901	44.4773	36.8685	44.3353	49.3929
1130.0000	44.5971	27.6831	44.4895	36.4919	44.3497	48.9407
1140.0000	44.6085	27.3861	44.5034	35.8171	44.3664	48.8974
1150.0000	44.6089	27.2290	44.5037	35.8479	44.3659	48.5602
1160.0000	44.6110	26.8756	44.5058	35.4393	44.3676	47.6899
1170.0000	44.6061	26.6796	44.4992	34.9331	44.3584	47.4370
1180.0000	44.6189	26.5579	44.5152	34.5753	44.3780	46.8595
1190.0000	44.6309	26.3237	44.5301	34.2433	44.3961	46.7134
1200.0000	44.6341	26.0622	44.5338	34.2722	44.4002	46.0931
1210.0000	44.6361	25.7272	44.5360	33.9639	44.4023	45.7850
1220.0000	44.6400	25.5068	44.5408	33.7100	44.4077	45.8591
1230.0000	44.6458	25.2904	44.5478	33.1368	44.4161	45.1051
1240.0000	44.6452	25.2376	44.5468	33.1357	44.4141	44.7484
1250.0000	44.6492	24.9991	44.5516	32.8223	44.4196	44.6983
1260.0000	44.6480	24.7869	44.5498	32.2894	44.4164	43.9265
1270.0000	44.6628	24.5335	44.5685	32.2979	44.4401	44.0509
1280.0000	44.6622	24.2770	44.5675	32.0327	44.4381	43.4940
1290.0000	44.6648	24.0231	44.5705	31.7757	44.4415	43.0173
1300.0000	44.6703	23.8883	44.5773	31.2637	44.4497	42.9324
1310.0000	44.6693	23.7708	44.5758	31.2954	44.4473	42.8167
1320.0000	44.6744	23.5873	44.5821	31.0854	44.4550	42.4307
1330.0000	44.6741	23.2918	44.5816	30.7883	44.4537	41.7174
1340.0000	44.6779	23.1893	44.5862	30.3230	44.4592	41.8393
1350.0000	44.6785	23.0199	44.5868	30.3277	44.4594	41.4651
1360.0000	44.6865	22.7858	44.5968	30.0956	44.4721	41.1649
1370.0000	44.6823	22.5816	44.5913	29.8977	44.4644	40.8723
1380.0000	44.6847	22.4146	44.5942	29.5207	44.4677	40.3454
1390.0000	44.6840	22.3790	44.5931	29.3575	44.4658	39.9659
1400.0000	44.6887	22.1042	44.5989	29.0138	44.4730	39.9671
1410.0000	44.6888	22.0512	44.5989	28.8505	44.4726	39.5269
1420.0000	44.6815	21.8875	44.5893	28.6056	44.4594	39.1755
1430.0000	44.6851	21.6753	44.5938	28.4279	44.4648	39.1757
1440.0000	44.6892	21.5094	44.5990	28.3287	44.4714	38.7346
1450.0000	44.6935	21.2863	44.6042	28.1718	44.4778	38.3244
1460.0000	44.7000	21.1529	44.6125	27.8663	44.4884	38.0878
1470.0000	44.6997	21.0065	44.6119	27.6333	44.4871	37.8684
1480.0000	44.6983	20.8862	44.6100	27.5715	44.4842	37.8782
1490.0000	44.6990	20.6927	44.6108	27.2200	44.4849	37.3674
1500.0000	44.7077	20.5365	44.6220	27.1925	44.4994	37.0070
1510.0000	44.7055	20.4946	44.6189	26.9124	44.4951	37.0764
1520.0000	44.7087	20.3661	44.6229	26.6666	44.5000	36.7219
1530.0000	44.7047	20.1398	44.6176	26.4838	44.4926	36.3029
1540.0000	44.7048	19.9962	44.6176	26.3388	44.4922	36.2851
1550.0000	44.7075	19.9060	44.6209	26.2555	44.4962	35.8937
1560.0000	44.7107	19.7801	44.6251	25.9683	44.5015	35.9198
1570.0000	44.7148	19.6143	44.6303	25.9781	44.5082	35.5590
1580.0000	44.7124	19.5585	44.6270	25.8628	44.5036	35.3422
1590.0000	44.7122	19.4550	44.6267	25.6507	44.5029	35.1157
1600.0000	44.7210	19.2692	44.6379	25.4215	44.5173	34.9573
1610.0000	44.7165	19.1653	44.6319	25.2883	44.5092	34.7728
1620.0000	44.7227	19.0407	44.6399	24.9819	44.5195	34.4073
1630.0000	44.7135	18.8508	44.6278	24.9554	44.5031	34.2512
1640.0000	44.7210	18.7587	44.6375	24.6874	44.5158	34.2127
1650.0000	44.7189	18.6351	44.6347	24.6524	44.5118	33.9199
1660.0000	44.7107	18.6033	44.6240	24.5620	44.4973	33.7253
1670.0000	44.7176	18.3732	44.6328	24.3225	44.5087	33.4811
1680.0000	44.7172	18.2701	44.6322	24.2281	44.5077	33.4094
1690.0000	44.7156	18.1205	44.6299	23.9698	44.5043	32.8307
1700.0000	44.6950	18.1571	44.6030	23.8352	44.4682	32.9971
1710.0000	44.6928	18.1461	44.6002	23.9884	44.4645	32.7956
1720.0000	44.6906	18.0900	44.5974	23.8492	44.4607	33.1005
1730.0000	44.6884	18.1828	44.5945	24.0116	44.4569	32.9864
1740.0000	44.6861	18.1069	44.5916	24.0169	44.4531	32.9171
1750.0000	44.6838	18.1400	44.5887	23.9238	44.4491	32.9144
1760.0000	44.6815	18.1974	44.5857	23.9211	44.4452	32.9642
1770.0000	44.6792	18.2214	44.5826	23.9485	44.4411	33.1394
1780.0000	44.6768	18.2301	44.5796	24.0761	44.4371	33.2340
1790.0000	44.6744	18.2178	44.5764	24.0935	44.4329	32.8971
1800.0000	44.6720	18.1694	44.5733	23.9298	44.4287	33.2403
1810.0000	44.6695	18.1768	44.5701	24.1298	44.4245	32.9350
1820.0000	44.6670	18.2657	44.5669	23.9511	44.4202	33.2998
1830.0000	44.6644	18.1840	44.5636	24.1623	44.4159	33.2826
1840.0000	44.6619	18.2626	44.5603	24.1354	44.4115	33.1241
1850.0000	44.6593	18.3222	44.5569	24.0153	44.4070	33.0839
1860.0000	44.6567	18.2148	44.5535	24.0013	44.4025	33.1002
1870.0000	44.6540	18.2205	44.5501	24.0111	44.3980	33.1815
1880.0000	44.6513	18.2340	44.5466	24.0394	44.3934	33.3984
1890.0000	44.6486	18.2412	44.5431	24.1093	44.3887	33.4548
1900.0000	44.6458	18.2502	44.5395	24.2824	44.3840	33.0556
1910.0000	44.6431	18.3475	44.5359	24.1556	44.3792	33.4689
1920.0000	44.6403	18.3945	44.5323	24.1208	44.3744	33.0471
1930.0000	44.6374	18.2913	44.5286	24.3116	44.3696	33.5491
1940.0000	44.6345	18.4279	44.5249	24.1532	44.3647	33.2120
1950.0000	44.6316	18.3290	44.5212	24.1781	44.3597	33.1627
1960.0000	44.6287	18.4648	44.5174	24.3945	44.3547	33.6632
1970.0000	44.6258	18.3229	44.5136	24.3009	44.3496	33.6672
1980.0000	44.6228	18.3713	44.5097	24.1873	44.3445	33.6533
1990.0000	44.6197	18.4679	44.5058	24.1718	44.3394	33.6840
2000.0000	44.6167	18.5128	44.5019	24.1815	44.3341	33.7595
