nm	T
300.000	0.016356
310.000	0.018271
320.000	0.020998
330.000	0.024658
340.000	0.029301
350.000	0.034446
360.000	0.037376
370.000	0.038823
380.000	0.040583
390.000	0.042789
400.000	0.045781
410.000	0.049371
420.000	0.053652
430.000	0.058794
440.000	0.065098
450.000	0.073199
460.000	0.083628
470.000	0.096991
480.000	0.114513
490.000	0.133608
500.000	0.145812
510.000	0.144657
520.000	0.134398
530.000	0.121089
540.000	0.107941
550.000	0.096218
560.000	0.085449
570.000	0.076331
580.000	0.068408
590.000	0.061693
600.000	0.055669
610.000	0.050584
620.000	0.046322
630.000	0.042303
640.000	0.038822
650.000	0.035750
660.000	0.033044
670.000	0.030586
680.000	0.028343
690.000	0.026316
700.000	0.024527
710.000	0.022910
720.000	0.021505
730.000	0.020194
740.000	0.019080
750.000	0.018010
760.000	0.017062
770.000	0.016261
780.000	0.015412
790.000	0.014550
800.000	0.014077
810.000	0.013419
820.000	0.012740
830.000	0.012224
840.000	0.011737
850.000	0.011300
860.000	0.010808
870.000	0.010433
880.000	0.010065
890.000	0.009738
900.000	0.009342
910.000	0.009034
920.000	0.008771
930.000	0.008445
940.000	0.008175
950.000	0.007920
960.000	0.007673
970.000	0.007388
980.000	0.007208
990.000	0.006996
1000.000	0.006767
1010.000	0.006616
1020.000	0.006417
1030.000	0.006243
1040.000	0.006073
1050.000	0.005915
1060.000	0.005646
1070.000	0.005519
1080.000	0.005404
1090.000	0.005269
1100.000	0.005130
1110.000	0.005001
1120.000	0.004902
1130.000	0.004759
1140.000	0.004613
1150.000	0.004559
1160.000	0.004429
1170.000	0.004372
1180.000	0.004264
1190.000	0.004127
1200.000	0.004061
1210.000	0.003985
1220.000	0.003907
1230.000	0.003829
1240.000	0.003764
1250.000	0.003674
1260.000	0.003578
1270.000	0.003502
1280.000	0.003434
1290.000	0.003364
1300.000	0.003301
1310.000	0.003259
1320.000	0.003210
1330.000	0.003133
1340.000	0.003068
1350.000	0.003017
1360.000	0.002956
1370.000	0.002917
1380.000	0.002866
1390.000	0.002819
1400.000	0.002767
1410.000	0.002733
1420.000	0.002679
1430.000	0.002598
1440.000	0.002594
1450.000	0.002530
1460.000	0.002493
1470.000	0.002416
1480.000	0.002397
1490.000	0.002362
1500.000	0.002324
1510.000	0.002322
1520.000	0.002262
1530.000	0.002222
1540.000	0.002181
1550.000	0.002127
1560.000	0.002123
1570.000	0.002108
1580.000	0.002095
1590.000	0.002049
1600.000	0.001981
1610.000	0.001964
1620.000	0.001939
1630.000	0.001905
1640.000	0.001894
1650.000	0.001860
1660.000	0.001852
1670.000	0.001786
1680.000	0.001785
1690.000	0.001732
1700.000	0.001756
1710.000	0.001804
1720.000	0.001854
1730.000	0.001903
1740.000	0.001954
1750.000	0.002005
1760.000	0.002058
1770.000	0.002110
1780.000	0.002164
1790.000	0.002219
1800.000	0.002274
1810.000	0.002330
1820.000	0.002387
1830.000	0.002444
1840.000	0.002502
1850.000	0.002562
1860.000	0.002621
1870.000	0.002682
1880.000	0.002743
1890.000	0.002806
1900.000	0.002868
1910.000	0.002932
1920.000	0.002997
1930.000	0.003062
1940.000	0.003128
1950.000	0.003195
1960.000	0.003262
1970.000	0.003330
1980.000	0.003399
1990.000	0.003469
2000.000	0.003540
