% Generated by make_fake_data.py via real TMM forward calculation
% nm	Psi	Delta	Err(Psi)	Err(Delta)
% AOI = 65.000
300.000	39.4099	76.4087	0.020	0.100
310.000	35.3929	66.2383	0.020	0.100
320.000	32.3900	49.3370	0.020	0.100
330.000	30.3037	28.3280	0.020	0.100
340.000	29.4476	5.6888	0.020	0.100
350.000	30.0707	-16.0145	0.020	0.100
360.000	32.1687	-35.6428	0.020	0.100
370.000	34.3123	-53.4026	0.020	0.100
380.000	35.7455	-65.6451	0.020	0.100
390.000	37.9256	-71.6075	0.020	0.100
400.000	41.5650	-72.8394	0.020	0.100
410.000	47.1447	-69.2620	0.020	0.100
420.000	55.1748	-59.1847	0.020	0.100
430.000	64.6726	-36.8394	0.020	0.100
440.000	69.4705	6.5735	0.020	0.100
450.000	64.1005	46.2032	0.020	0.100
460.000	55.6342	65.1165	0.020	0.100
470.000	48.5044	73.8242	0.020	0.100
480.000	43.1101	77.7962	0.020	0.100
490.000	39.0163	79.1112	0.020	0.100
500.000	35.8015	78.7077	0.020	0.100
510.000	33.1736	77.0853	0.020	0.100
520.000	30.9444	74.5390	0.020	0.100
530.000	28.9967	71.2564	0.020	0.100
540.000	27.2584	67.3603	0.020	0.100
550.000	25.6864	62.9331	0.020	0.100
560.000	24.2572	58.0330	0.020	0.100
570.000	22.9599	52.7031	0.020	0.100
580.000	21.7916	46.9806	0.020	0.100
590.000	20.7544	40.9021	0.020	0.100
600.000	19.8534	34.5122	0.020	0.100
610.000	19.0938	27.8650	0.020	0.100
620.000	18.4799	21.0291	0.020	0.100
630.000	18.0137	14.0871	0.020	0.100
640.000	17.6937	7.1297	0.020	0.100
650.000	17.5146	0.2521	0.020	0.100
660.000	17.4678	-6.4560	0.020	0.100
670.000	17.5415	-12.9161	0.020	0.100
680.000	17.7223	-19.0672	0.020	0.100
690.000	17.9957	-24.8685	0.020	0.100
700.000	18.3475	-30.2962	0.020	0.100
710.000	18.7642	-35.3426	0.020	0.100
720.000	19.2337	-40.0127	0.020	0.100
730.000	19.7457	-44.3199	0.020	0.100
740.000	20.2913	-48.2825	0.020	0.100
750.000	20.8633	-51.9225	0.020	0.100
760.000	21.4561	-55.2625	0.020	0.100
770.000	22.0652	-58.3247	0.020	0.100
780.000	22.6873	-61.1311	0.020	0.100
790.000	23.3202	-63.7016	0.020	0.100
800.000	23.9622	-66.0551	0.020	0.100
810.000	24.6126	-68.2086	0.020	0.100
820.000	25.2710	-70.1775	0.020	0.100
830.000	25.9375	-71.9758	0.020	0.100
840.000	26.6126	-73.6162	0.020	0.100
850.000	27.2971	-75.1095	0.020	0.100
860.000	27.9921	-76.4660	0.020	0.100
870.000	28.6988	-77.6946	0.020	0.100
880.000	29.4187	-78.8035	0.020	0.100
890.000	30.1536	-79.7997	0.020	0.100
900.000	30.9051	-80.6901	0.020	0.100
910.000	31.6753	-81.4803	0.020	0.100
920.000	32.4660	-82.1759	0.020	0.100
930.000	33.2795	-82.7816	0.020	0.100
940.000	34.1180	-83.3019	0.020	0.100
950.000	34.9835	-83.7407	0.020	0.100
960.000	35.8783	-84.1016	0.020	0.100
970.000	36.8049	-84.3878	0.020	0.100
980.000	37.7656	-84.6001	0.020	0.100
990.000	38.7625	-84.7271	0.020	0.100
1000.000	39.7980	-84.9311	0.020	0.100
1010.000	40.8735	-84.4779	0.020	0.100
1020.000	41.9845	-83.4301	0.020	0.100
1030.000	43.0943	-84.4111	0.020	0.100
1040.000	44.0628	-79.3056	0.020	0.100
1050.000	44.5249	-71.5622	0.020	0.100
1060.000	44.0807	-99.0130	0.020	0.100
1070.000	42.5333	-81.1433	0.020	0.100
1080.000	40.5661	-131.5222	0.020	0.100
1090.000	38.5857	-62.1465	0.020	0.100
1100.000	37.1090	-50.3089	0.020	0.100
1110.000	35.6366	-71.2513	0.020	0.100
1120.000	34.4759	120.8185	0.020	0.100
1130.000	33.2808	-72.5218	0.020	0.100
1140.000	32.4458	-37.7737	0.020	0.100
1150.000	31.9030	-7.8615	0.020	0.100
1160.000	31.2860	7.5910	0.020	0.100
1170.000	30.9143	6.2918	0.020	0.100
1180.000	30.7272	-0.3538	0.020	0.100
1190.000	30.5355	-3.0505	0.020	0.100
1200.000	30.5656	4.2359	0.020	0.100
1210.000	30.5910	32.7823	0.020	0.100
1220.000	30.6119	107.8844	0.020	0.100
1230.000	30.6283	-88.3044	0.020	0.100
1240.000	30.6405	14.1314	0.020	0.100
1250.000	30.6487	-74.9920	0.020	0.100
1260.000	30.6529	-172.7656	0.020	0.100
1270.000	30.6535	-171.9837	0.020	0.100
1280.000	30.6504	-63.8055	0.020	0.100
1290.000	30.6440	56.9844	0.020	0.100
1300.000	30.6343	0.6308	0.020	0.100
1310.000	30.6214	13.8220	0.020	0.100
1320.000	30.6056	111.0791	0.020	0.100
1330.000	30.5870	26.2523	0.020	0.100
1340.000	30.5657	32.9623	0.020	0.100
