nm	Psi_65	Del_65	Psi_70	Del_70	Psi_75	Del_75
300.0000	39.4099	76.4087	37.2220	88.2308	35.6281	101.5123
310.0000	35.3929	66.2383	32.4811	72.4849	29.0223	81.8034
320.0000	32.3900	49.3370	28.1421	48.7251	21.6943	48.6658
330.0000	30.3037	28.3280	25.2230	17.8860	18.0154	-3.0519
340.0000	29.4476	5.6888	25.1136	-14.8756	21.6550	-50.1956
350.0000	30.0707	-16.0145	27.6624	-42.2931	27.7767	-77.3168
360.0000	32.1687	-35.6428	31.7251	-62.7623	33.5228	-93.2768
370.0000	34.3123	-53.4026	35.3724	-78.4964	37.8648	-103.9968
380.0000	35.7455	-65.6451	38.0665	-87.3706	41.2705	-108.4434
390.0000	37.9256	-71.6075	41.6295	-89.5208	46.0374	-107.0183
400.0000	41.5650	-72.8394	47.3229	-86.4096	54.2540	-100.9218
410.0000	47.1447	-69.2620	56.3171	-77.3015	68.1816	-89.9039
420.0000	55.1748	-59.1847	68.9723	-55.8556	86.8281	-35.1947
430.0000	64.6726	-36.8394	77.3574	9.8817	72.5213	94.6244
440.0000	69.4705	6.5735	68.1091	66.4312	58.9521	105.3947
450.0000	64.1005	46.2032	57.1227	84.0552	50.3771	111.2417
460.0000	55.6342	65.1165	49.1571	91.7485	44.7899	114.5311
470.0000	48.5044	73.8242	43.5389	95.4246	40.8118	116.0838
480.0000	43.1101	77.7962	39.3760	96.8118	37.6854	116.4015
490.0000	39.0163	79.1112	36.0786	96.6707	34.9998	115.8188
500.0000	35.8015	78.7077	33.2943	95.4151	32.5241	114.5632
510.0000	33.1736	77.0853	30.8153	93.2916	30.1239	112.7928
520.0000	30.9444	74.5390	28.5184	90.4482	27.7180	110.6179
530.0000	28.9967	71.2564	26.3327	86.9684	25.2597	108.1173
540.0000	27.2584	67.3603	24.2202	82.8863	22.7248	105.3441
550.0000	25.6864	62.9331	22.1652	78.1927	20.1058	102.3273
560.0000	24.2572	58.0330	20.1696	72.8384	17.4093	99.0686
570.0000	22.9599	52.7031	18.2486	66.7308	14.6516	95.5252
580.0000	21.7916	46.9806	16.4300	59.7351	11.8583	91.5717
590.0000	20.7544	40.9021	14.7536	51.6775	9.0613	86.8835
600.0000	19.8534	34.5122	13.2711	42.3754	6.3022	80.5388
610.0000	19.0938	27.8650	12.0440	31.7013	3.6523	68.9737
620.0000	18.4799	21.0291	11.1373	19.7096	1.4919	26.7518
630.0000	18.0137	14.0871	10.6043	6.7758	2.2579	-60.0992
640.0000	17.6937	7.1297	10.4654	-6.3928	4.5064	-80.8057
650.0000	17.5146	0.2521	10.6957	-18.9685	6.7830	-88.7524
660.0000	17.4678	-6.4560	11.2319	-30.3266	8.9621	-93.5781
670.0000	17.5415	-12.9161	11.9950	-40.1987	11.0197	-97.1429
680.0000	17.7223	-19.0672	12.9108	-48.6083	12.9506	-100.0374
690.0000	17.9957	-24.8685	13.9197	-55.7283	14.7568	-102.5072
700.0000	18.3475	-30.2962	14.9783	-61.7688	16.4433	-104.6731
710.0000	18.7642	-35.3426	16.0564	-66.9263	18.0170	-106.6029
720.0000	19.2337	-40.0127	17.1340	-71.3652	19.4864	-108.3383
730.0000	19.7457	-44.3199	18.1986	-75.2170	20.8602	-109.9073
740.0000	20.2913	-48.2825	19.2424	-78.5839	22.1472	-111.3297
750.0000	20.8633	-51.9225	20.2615	-81.5463	23.3563	-112.6206
760.0000	21.4561	-55.2625	21.2543	-84.1669	24.4959	-113.7921
770.0000	22.0652	-58.3247	22.2207	-86.4949	25.5741	-114.8538
780.0000	22.6873	-61.1311	23.1621	-88.5700	26.5986	-115.8142
790.0000	23.3202	-63.7016	24.0802	-90.4237	27.5765	-116.6806
800.0000	23.9622	-66.0551	24.9777	-92.0822	28.5147	-117.4595
810.0000	24.6126	-68.2086	25.8573	-93.5667	29.4194	-118.1567
820.0000	25.2710	-70.1775	26.7221	-94.8952	30.2965	-118.7776
830.0000	25.9375	-71.9758	27.5753	-96.0827	31.1517	-119.3272
840.0000	26.6126	-73.6162	28.4201	-97.1420	31.9901	-119.8100
850.0000	27.2971	-75.1095	29.2599	-98.0841	32.8167	-120.2305
860.0000	27.9921	-76.4660	30.0978	-98.9185	33.6362	-120.5929
870.0000	28.6988	-77.6946	30.9372	-99.6536	34.4529	-120.9011
880.0000	29.4187	-78.8035	31.7815	-100.2968	35.2714	-121.1592
