nm	T
300.000	0.000000
310.000	0.000000
320.000	0.000000
330.000	0.000000
340.000	0.000000
350.000	0.000000
360.000	0.000000
370.000	0.000000
380.000	0.000000
390.000	0.000000
400.000	0.000000
410.000	0.000000
420.000	0.000000
430.000	0.000000
440.000	0.000000
450.000	0.000000
460.000	0.000000
470.000	0.000000
480.000	0.000000
490.000	0.000000
500.000	0.000000
510.000	0.000000
520.000	0.000000
530.000	0.000000
540.000	0.000000
550.000	0.000000
560.000	0.000000
570.000	0.000000
580.000	0.000000
590.000	0.000000
600.000	0.000000
610.000	0.000000
620.000	0.000000
630.000	0.000000
640.000	0.000000
650.000	0.000000
660.000	0.000000
670.000	0.000000
680.000	0.000000
690.000	0.000000
700.000	0.000000
710.000	0.000000
720.000	0.000000
730.000	0.000000
740.000	0.000000
750.000	0.000000
760.000	0.000000
770.000	0.000000
780.000	0.000000
790.000	0.000000
800.000	0.000000
810.000	0.000000
820.000	0.000000
830.000	0.000000
840.000	0.000000
850.000	0.000000
860.000	0.000000
870.000	0.000000
880.000	0.000000
890.000	0.000000
900.000	0.000000
910.000	0.000000
920.000	0.000000
930.000	0.000000
940.000	0.000000
950.000	0.000000
960.000	0.000000
970.000	0.000005
980.000	0.000041
990.000	0.000246
1000.000	0.001114
1010.000	0.004020
1020.000	0.011638
1030.000	0.027874
1040.000	0.056690
1050.000	0.101544
1060.000	0.158165
1070.000	0.223886
1080.000	0.285643
1090.000	0.341820
1100.000	0.384955
1110.000	0.427559
1120.000	0.463101
1130.000	0.500211
1140.000	0.528606
1150.000	0.549159
1160.000	0.572020
1170.000	0.587696
1180.000	0.597581
1190.000	0.607407
1200.000	0.610072
1210.000	0.612673
1220.000	0.615208
1230.000	0.617676
1240.000	0.620076
1250.000	0.622407
1260.000	0.624668
1270.000	0.626858
1280.000	0.628978
1290.000	0.631027
1300.000	0.633004
1310.000	0.634910
1320.000	0.636746
1330.000	0.638511
1340.000	0.640207
1350.000	0.641833
1360.000	0.643390
1370.000	0.644879
1380.000	0.646301
1390.000	0.647658
1400.000	0.648948
1410.000	0.650175
1420.000	0.651339
1430.000	0.652441
1440.000	0.653482
1450.000	0.654464
1460.000	0.655388
1470.000	0.656255
1480.000	0.657066
1490.000	0.657823
1500.000	0.658528
1510.000	0.659180
1520.000	0.659783
1530.000	0.660337
1540.000	0.660843
1550.000	0.661304
1560.000	0.661719
1570.000	0.662092
1580.000	0.662422
1590.000	0.662711
1600.000	0.662961
1610.000	0.663173
1620.000	0.663348
1630.000	0.663487
1640.000	0.663592
1650.000	0.663663
1660.000	0.663703
1670.000	0.663711
1680.000	0.663690
1690.000	0.663640
1700.000	0.663563
1710.000	0.663459
1720.000	0.663329
1730.000	0.663175
1740.000	0.662998
1750.000	0.662798
1760.000	0.662576
1770.000	0.662334
1780.000	0.662072
1790.000	0.661791
1800.000	0.661492
1810.000	0.661175
1820.000	0.660842
1830.000	0.660493
1840.000	0.660129
1850.000	0.659751
1860.000	0.659359
1870.000	0.658954
1880.000	0.658537
1890.000	0.658108
1900.000	0.657668
1910.000	0.657218
1920.000	0.656757
1930.000	0.656288
1940.000	0.655809
1950.000	0.655322
1960.000	0.654827
1970.000	0.654325
1980.000	0.653815
1990.000	0.653300
2000.000	0.652778
