% Generated by make_fake_data.py via real TMM forward calculation
% nm	Psi	Delta	Err(Psi)	Err(Delta)
% AOI = 65.000
300.000	32.5537	23.0184	0.020	0.100
310.000	31.1302	22.5076	0.020	0.100
320.000	30.3984	21.8618	0.020	0.100
330.000	29.9554	20.9511	0.020	0.100
340.000	29.7465	19.9462	0.020	0.100
350.000	29.9021	18.7099	0.020	0.100
360.000	30.6234	15.9317	0.020	0.100
370.000	30.5195	9.9784	0.020	0.100
380.000	28.7159	5.2636	0.020	0.100
390.000	26.9799	3.6050	0.020	0.100
400.000	25.7115	2.7909	0.020	0.100
410.000	24.7106	2.3324	0.020	0.100
420.000	23.9029	2.0131	0.020	0.100
430.000	23.2199	1.7441	0.020	0.100
440.000	22.6225	1.5167	0.020	0.100
450.000	22.0922	1.3337	0.020	0.100
460.000	21.6189	1.1920	0.020	0.100
470.000	21.1954	1.0839	0.020	0.100
480.000	20.8156	1.0005	0.020	0.100
490.000	20.4738	0.9334	0.020	0.100
500.000	20.1647	0.8760	0.020	0.100
510.000	19.8837	0.8238	0.020	0.100
520.000	19.6267	0.7741	0.020	0.100
530.000	19.3903	0.7257	0.020	0.100
540.000	19.1717	0.6783	0.020	0.100
550.000	18.9686	0.6323	0.020	0.100
560.000	18.7793	0.5879	0.020	0.100
570.000	18.6022	0.5456	0.020	0.100
580.000	18.4361	0.5057	0.020	0.100
590.000	18.2802	0.4685	0.020	0.100
600.000	18.1334	0.4341	0.020	0.100
610.000	17.9951	0.4024	0.020	0.100
620.000	17.8647	0.3735	0.020	0.100
630.000	17.7414	0.3472	0.020	0.100
640.000	17.6249	0.3234	0.020	0.100
650.000	17.5146	0.3019	0.020	0.100
660.000	17.4102	0.2826	0.020	0.100
670.000	17.3112	0.2654	0.020	0.100
680.000	17.2172	0.2500	0.020	0.100
690.000	17.1280	0.2363	0.020	0.100
700.000	17.0432	0.2242	0.020	0.100
710.000	16.9627	0.2136	0.020	0.100
720.000	16.8860	0.2042	0.020	0.100
730.000	16.8131	0.1960	0.020	0.100
740.000	16.7437	0.1889	0.020	0.100
750.000	16.6776	0.1825	0.020	0.100
760.000	16.6146	0.1768	0.020	0.100
770.000	16.5547	0.1716	0.020	0.100
780.000	16.4975	0.1666	0.020	0.100
790.000	16.4430	0.1615	0.020	0.100
800.000	16.3910	0.1562	0.020	0.100
810.000	16.3413	0.1504	0.020	0.100
820.000	16.2938	0.1439	0.020	0.100
830.000	16.2481	0.1367	0.020	0.100
840.000	16.2043	0.1286	0.020	0.100
850.000	16.1621	0.1198	0.020	0.100
860.000	16.1212	0.1105	0.020	0.100
870.000	16.0817	0.1008	0.020	0.100
880.000	16.0435	0.0911	0.020	0.100
890.000	16.0063	0.0815	0.020	0.100
900.000	15.9703	0.0722	0.020	0.100
910.000	15.9353	0.0635	0.020	0.100
920.000	15.9014	0.0553	0.020	0.100
930.000	15.8685	0.0478	0.020	0.100
940.000	15.8366	0.0410	0.020	0.100
950.000	15.8057	0.0349	0.020	0.100
960.000	15.7757	0.0295	0.020	0.100
970.000	15.7467	0.0249	0.020	0.100
980.000	15.7186	0.0216	0.020	0.100
990.000	15.6914	0.0073	0.020	0.100
1000.000	15.6651	0.0285	0.020	0.100
1010.000	15.6398	-0.1736	0.020	0.100
1020.000	15.6171	-0.2334	0.020	0.100
1030.000	15.6044	-1.4818	0.020	0.100
1040.000	15.6249	0.8737	0.020	0.100
1050.000	15.7301	-1.6240	0.020	0.100
1060.000	15.9650	8.3170	0.020	0.100
1070.000	16.3515	11.3407	0.020	0.100
1080.000	16.7869	6.9765	0.020	0.100
1090.000	17.2121	5.2965	0.020	0.100
1100.000	17.5334	-1.5721	0.020	0.100
1110.000	17.8423	17.2924	0.020	0.100
1120.000	18.0802	-24.3827	0.020	0.100
1130.000	18.3124	22.2440	0.020	0.100
1140.000	18.4649	-2.3598	0.020	0.100
1150.000	18.5555	-15.8838	0.020	0.100
1160.000	18.6505	-20.4390	0.020	0.100
1170.000	18.6986	-19.1153	0.020	0.100
1180.000	18.7149	-15.3949	0.020	0.100
1190.000	18.7300	-12.8970	0.020	0.100
1200.000	18.7127	-14.6701	0.020	0.100
1210.000	18.6959	-24.1425	0.020	0.100
1220.000	18.6795	-34.6906	0.020	0.100
1230.000	18.6636	34.3705	0.020	0.100
1240.000	18.6480	-13.6220	0.020	0.100
1250.000	18.6329	31.5871	0.020	0.100
1260.000	18.6181	4.9097	0.020	0.100
1270.000	18.6037	5.6520	0.020	0.100
1280.000	18.5897	29.0268	0.020	0.100
1290.000	18.5760	-26.7228	0.020	0.100
1300.000	18.5626	1.6751	0.020	0.100
1310.000	18.5496	-3.8934	0.020	0.100
1320.000	18.5368	-34.3964	0.020	0.100
1330.000	18.5244	-8.0146	0.020	0.100
