nm	Psi_65	Del_65	Psi_70	Del_70	Psi_75	Del_75
300.0000	32.5537	23.0184	29.1436	31.4312	24.7612	46.1424
310.0000	31.1302	22.5076	27.3529	31.0727	22.5600	46.6377
320.0000	30.3984	21.8618	26.4188	30.3872	21.3784	46.2817
330.0000	29.9554	20.9511	25.8306	29.2677	20.5738	45.1084
340.0000	29.7465	19.9462	25.5279	27.9507	20.0927	43.4411
350.0000	29.9021	18.7099	25.6683	26.2169	20.1082	40.8329
360.0000	30.6234	15.9317	26.4633	22.2413	20.7597	34.5055
370.0000	30.5195	9.9784	26.1660	14.0051	19.8809	22.1564
380.0000	28.7159	5.2636	23.8128	7.5397	16.6825	12.6307
390.0000	26.9799	3.6050	21.6295	5.2783	13.9426	9.4292
400.0000	25.7115	2.7909	20.0565	4.1636	12.0233	7.8921
410.0000	24.7106	2.3324	18.8277	3.5384	10.5524	7.1007
420.0000	23.9029	2.0131	17.8433	3.1002	9.3898	6.5724
430.0000	23.2199	1.7441	17.0160	2.7235	8.4225	6.0966
440.0000	22.6225	1.5167	16.2962	2.3998	7.5885	5.6765
450.0000	22.0922	1.3337	15.6604	2.1368	6.8580	5.3466
460.0000	21.6189	1.1920	15.0954	1.9326	6.2138	5.1208
470.0000	21.1954	1.0839	14.5919	1.7774	5.6436	4.9921
480.0000	20.8156	1.0005	14.1419	1.6583	5.1371	4.9413
490.0000	20.4738	0.9334	13.7382	1.5629	4.6852	4.9444
500.0000	20.1647	0.8760	13.3742	1.4809	4.2796	4.9788
510.0000	19.8837	0.8238	13.0442	1.4052	3.9133	5.0262
520.0000	19.6267	0.7741	12.7430	1.3319	3.5803	5.0749
530.0000	19.3903	0.7257	12.4666	1.2590	3.2755	5.1186
540.0000	19.1717	0.6783	12.2114	1.1862	2.9951	5.1559
550.0000	18.9686	0.6323	11.9748	1.1140	2.7357	5.1891
560.0000	18.7793	0.5879	11.7546	1.0434	2.4949	5.2222
570.0000	18.6022	0.5456	11.5490	0.9751	2.2706	5.2603
580.0000	18.4361	0.5057	11.3565	0.9100	2.0611	5.3099
590.0000	18.2802	0.4685	11.1760	0.8485	1.8651	5.3774
600.0000	18.1334	0.4341	11.0064	0.7911	1.6813	5.4702
610.0000	17.9951	0.4024	10.8468	0.7378	1.5087	5.5966
620.0000	17.8647	0.3735	10.6963	0.6888	1.3463	5.7673
630.0000	17.7414	0.3472	10.5544	0.6439	1.1935	5.9952
640.0000	17.6249	0.3234	10.4204	0.6030	1.0495	6.2985
650.0000	17.5146	0.3019	10.2937	0.5659	0.9136	6.7029
660.0000	17.4102	0.2826	10.1738	0.5325	0.7853	7.2472
670.0000	17.3112	0.2654	10.0602	0.5023	0.6641	7.9927
680.0000	17.2172	0.2500	9.9525	0.4754	0.5495	9.0440
690.0000	17.1280	0.2363	9.8504	0.4515	0.4413	10.5933
700.0000	17.0432	0.2242	9.7534	0.4303	0.3393	13.0308
710.0000	16.9627	0.2136	9.6613	0.4116	0.2436	17.3007
720.0000	16.8860	0.2042	9.5738	0.3952	0.1556	26.2759
730.0000	16.8131	0.1960	9.4905	0.3808	0.0833	52.1481
740.0000	16.7437	0.1889	9.4113	0.3683	0.0711	117.5774
750.0000	16.6776	0.1825	9.3360	0.3572	0.1280	151.7523
760.0000	16.6146	0.1768	9.2643	0.3473	0.1976	162.8003
770.0000	16.5547	0.1716	9.1960	0.3381	0.2670	167.7991
780.0000	16.4975	0.1666	9.1309	0.3293	0.3342	170.6078
790.0000	16.4430	0.1615	9.0690	0.3203	0.3988	172.4093
800.0000	16.3910	0.1562	9.0098	0.3108	0.4605	173.6732
810.0000	16.3413	0.1504	8.9534	0.3001	0.5196	174.6249
820.0000	16.2938	0.1439	8.8993	0.2880	0.5761	175.3796
830.0000	16.2481	0.1367	8.8475	0.2742	0.6303	176.0054
840.0000	16.2043	0.1286	8.7978	0.2587	0.6824	176.5403
850.0000	16.1621	0.1198	8.7498	0.2417	0.7327	177.0079
860.0000	16.1212	0.1105	8.7036	0.2234	0.7811	177.4209
870.0000	16.0817	0.1008	8.6588	0.2044	0.8280	177.7866
880.0000	16.0435	0.0911	8.6154	0.1850	0.8735	178.1103
890.0000	16.0063	0.0815	8.5733	0.1659	0.9175	178.3958
900.0000	15.9703	0.0722	8.5325	0.1474	0.9603	178.6450
910.0000	15.9353	0.0635	8.4929	0.1298	1.0018	178.8617
920.0000	15.9014	0.0553	8.4546	0.1134	1.0420	179.0488
930.0000	15.8685	0.0478	8.4173	0.0983	1.0810	179.2089
940.0000	15.8366	0.0410	8.3812	0.0845	1.1187	179.3460
950.0000	15.8057	0.0349	8.3463	0.0720	1.1553	179.4623
960.0000	15.7757	0.0295	8.3124	0.0610	1.1908	179.5605
970.0000	15.7467	0.0249	8.2796	0.0510	1.2251	179.6433
980.0000	15.7186	0.0216	8.2479	0.0416	1.2583	179.7146
990.0000	15.6914	0.0073	8.2172	0.0239	1.2905	179.7856
1000.0000	15.6651	0.0285	8.1874	-0.0162	1.3216	179.8649
1010.0000	15.6398	-0.1736	8.1587	0.2285	1.3517	179.5826
1020.0000	15.6171	-0.2334	8.1321	0.4253	1.3811	-179.4195
1030.0000	15.6044	-1.4818	8.1119	1.7206	1.4106	-178.2238
1040.0000	15.6249	0.8737	8.1123	-3.3070	1.4431	176.1727
1050.0000	15.7301	-1.6240	8.1650	-4.4755	1.4850	179.5019
1060.0000	15.9650	8.3170	8.2979	6.2276	1.5430	168.8564
1070.0000	16.3515	11.3407	8.5258	9.9734	1.6212	163.9814
1080.0000	16.7869	6.9765	8.7869	-15.5559	1.7082	-158.4659
1090.0000	17.2121	5.2965	9.0448	-12.4875	1.7965	-165.5272
1100.0000	17.5334	-1.5721	9.2394	-24.1062	1.8724	-150.5014
1110.0000	17.8423	17.2924	9.4283	-6.0987	1.9482	151.0663
1120.0000	18.0802	-24.3827	9.5730	-1.2409	2.0146	-148.1168
