nm	T
300.000	0.000000
310.000	0.000000
320.000	0.000000
330.000	0.000000
340.000	0.000000
350.000	0.000000
360.000	0.000000
370.000	0.000000
380.000	0.000000
390.000	0.000000
400.000	0.000000
410.000	0.000000
420.000	0.000000
430.000	0.000000
440.000	0.000000
450.000	0.000000
460.000	0.000000
470.000	0.000000
480.000	0.000000
490.000	0.000000
500.000	0.000000
510.000	0.000000
520.000	0.000000
530.000	0.000000
540.000	0.000000
550.000	0.000000
560.000	0.000000
570.000	0.000000
580.000	0.000000
590.000	0.000000
600.000	0.000000
610.000	0.000000
620.000	0.000000
630.000	0.000000
640.000	0.000000
650.000	0.000000
660.000	0.000000
670.000	0.000000
680.000	0.000000
690.000	0.000000
700.000	0.000000
710.000	0.000000
720.000	0.000000
730.000	0.000000
740.000	0.000000
750.000	0.000000
760.000	0.000000
770.000	0.000000
780.000	0.000000
790.000	0.000000
800.000	0.000000
810.000	0.000000
820.000	0.000000
830.000	0.000000
840.000	0.000000
850.000	0.000000
860.000	0.000000
870.000	0.000000
880.000	0.000000
890.000	0.000000
900.000	0.000000
910.000	0.000000
920.000	0.000000
930.000	0.000000
940.000	0.000000
950.000	0.000000
960.000	0.000000
970.000	0.000005
980.000	0.000039
990.000	0.000230
1000.000	0.001034
1010.000	0.003707
1020.000	0.010659
1030.000	0.025360
1040.000	0.051239
1050.000	0.091220
1060.000	0.141329
1070.000	0.199221
1080.000	0.253336
1090.000	0.302362
1100.000	0.339583
1110.000	0.376369
1120.000	0.406784
1130.000	0.438771
1140.000	0.462821
1150.000	0.479647
1160.000	0.498728
1170.000	0.511131
1180.000	0.518118
1190.000	0.525102
1200.000	0.525345
1210.000	0.525581
1220.000	0.525812
1230.000	0.526036
1240.000	0.526254
1250.000	0.526467
1260.000	0.526674
1270.000	0.526877
1280.000	0.527074
1290.000	0.527266
1300.000	0.527454
1310.000	0.527637
1320.000	0.527815
1330.000	0.527990
1340.000	0.528160
1350.000	0.528327
1360.000	0.528489
1370.000	0.528648
1380.000	0.528803
1390.000	0.528955
1400.000	0.529103
1410.000	0.529248
1420.000	0.529390
1430.000	0.529529
1440.000	0.529664
1450.000	0.529797
1460.000	0.529927
1470.000	0.530054
1480.000	0.530179
1490.000	0.530300
1500.000	0.530420
1510.000	0.530537
1520.000	0.530651
1530.000	0.530763
1540.000	0.530873
1550.000	0.530981
1560.000	0.531086
1570.000	0.531190
1580.000	0.531291
1590.000	0.531391
1600.000	0.531488
1610.000	0.531584
1620.000	0.531678
1630.000	0.531770
1640.000	0.531860
1650.000	0.531949
1660.000	0.532036
1670.000	0.532122
1680.000	0.532205
1690.000	0.532288
1700.000	0.532368
1710.000	0.532448
1720.000	0.532526
1730.000	0.532602
1740.000	0.532678
1750.000	0.532751
1760.000	0.532824
1770.000	0.532895
1780.000	0.532965
1790.000	0.533034
1800.000	0.533102
1810.000	0.533169
1820.000	0.533234
1830.000	0.533298
1840.000	0.533362
1850.000	0.533424
1860.000	0.533485
1870.000	0.533545
1880.000	0.533604
1890.000	0.533663
1900.000	0.533720
1910.000	0.533776
1920.000	0.533832
1930.000	0.533887
1940.000	0.533940
1950.000	0.533993
1960.000	0.534045
1970.000	0.534097
1980.000	0.534147
1990.000	0.534197
2000.000	0.534246
