wavelength_nm,n,k
0.1240,0.999995,0.000000
0.1305,0.999994,0.000000
0.1378,0.999993,0.000000
0.1550,0.999991,0.000000
0.1771,0.999989,0.000000
0.2066,0.999984,0.000001
0.2480,0.999980,0.000001
0.3100,0.999970,0.000002
0.3542,0.999950,0.000004
0.4133,0.999940,0.000007
0.4959,0.999910,0.000014
0.6199,0.999870,0.000032
0.6525,0.999860,0.000038
0.6888,0.999850,0.000047
0.7293,0.999840,0.000058
0.7402,0.999840,0.000062
0.7773,0.999860,0.000075
0.7847,0.999870,0.000078
0.7927,0.999900,0.000085
0.7938,0.999920,0.000072
0.7948,0.999930,0.000050
0.7953,0.999920,0.000041
0.7958,0.999920,0.000033
0.7979,0.999910,0.000024
0.7989,0.999910,0.000011
0.7999,0.999890,0.000006
0.8051,0.999870,0.000006
0.8157,0.999850,0.000006
0.8266,0.999830,0.000007
0.8551,0.999810,0.000008
0.8856,0.999790,0.000009
0.9537,0.999740,0.000012
1.0332,0.999680,0.000016
1.1271,0.999610,0.000022
1.2399,0.999530,0.000031
1.3776,0.999400,0.000047
1.5498,0.999240,0.000073
1.7712,0.998980,0.000118
2.0664,0.998600,0.000220
2.4797,0.997970,0.000435
3.0996,0.996940,0.000969
4.1328,0.994800,0.002349
4.9594,0.993130,0.004186
6.1993,0.991110,0.007510
6.5255,0.990540,0.008472
6.8881,0.990070,0.009652
7.2932,0.989090,0.010987
7.7491,0.989120,0.013728
8.2657,0.989660,0.014773
8.5507,0.989340,0.015437
8.8561,0.988830,0.016304
9.1841,0.987930,0.017765
9.5373,0.987610,0.020606
9.9188,0.989410,0.023421
10.3320,0.991390,0.024063
10.7810,0.992330,0.024928
11.2710,0.994150,0.025452
11.8080,0.992850,0.024415
12.3990,0.991230,0.029920
12.6520,0.992650,0.033061
12.9150,0.996520,0.035883
13.1900,1.001200,0.035311
13.4770,1.004100,0.033392
13.7760,1.005800,0.030918
14.0890,1.006000,0.028956
14.4170,1.006500,0.028232
14.7600,1.007400,0.026826
15.1200,1.007700,0.025460
15.4980,1.007500,0.024476
15.6940,1.007500,0.024501
15.8960,1.007800,0.024757
16.1020,1.009500,0.025180
16.3140,1.010600,0.023853
16.4220,1.011000,0.023955
16.5310,1.011800,0.024020
16.6420,1.013200,0.024343
16.7550,1.015100,0.024184
16.7770,1.015600,0.024228
16.8000,1.016100,0.024282
16.8230,1.016700,0.024375
16.8460,1.017300,0.024499
16.8690,1.018100,0.024831
16.8920,1.019400,0.025432
16.9150,1.021900,0.026018
16.9380,1.025900,0.024227
16.9610,1.026200,0.019564
16.9840,1.024600,0.019145
17.0080,1.025500,0.020012
17.0310,1.030500,0.020072
17.0540,1.034900,0.012476
17.0780,1.030500,0.004116
17.1010,1.024900,0.003622
17.1250,1.022600,0.003414
17.1490,1.020600,0.003440
17.1720,1.019200,0.003477
17.1960,1.017900,0.003488
17.2080,1.017400,0.003511
17.2200,1.016900,0.003525
17.4630,1.010800,0.003496
17.7120,1.007000,0.003543
18.2330,1.001900,0.003673
18.7860,0.997910,0.003893
19.3730,0.994570,0.004109
19.9980,0.991430,0.004240
20.6640,0.988270,0.004370
22.5430,0.979980,0.005000
24.7970,0.970480,0.005747
27.5520,0.958340,0.006619
30.9960,0.941890,0.007847
35.4240,0.918020,0.009312
41.3280,0.880130,0.011651
49.5940,0.815120,0.015894
61.9930,0.679120,0.022340
65.2550,0.632420,0.024770
68.8810,0.572510,0.027681
72.9320,0.491310,0.032409
77.4910,0.371970,0.044202
78.4720,0.340310,0.048320
79.4780,0.303730,0.053349
79.9900,0.282710,0.056697
80.5100,0.259360,0.061407
81.0360,0.233440,0.068348
81.5690,0.205690,0.079959
82.1090,0.179430,0.094223
82.6570,0.150650,0.110410
83.7740,0.094517,0.165890
84.9210,0.067041,0.234200
86.1010,0.054863,0.292930
88.5610,0.044168,0.391150
95.3730,0.036437,0.590860
103.3200,0.035753,0.771630
112.7100,0.038468,0.956770
123.9900,0.046304,1.155500
137.7600,0.057167,1.377500
154.9800,0.072505,1.636600
177.1200,0.094236,1.951900
206.6400,0.126770,2.356300
247.9700,0.181370,2.902900
309.9600,0.280030,3.708100
326.2800,0.314740,3.916500
364.6600,0.398770,4.395700
413.2800,0.521350,5.000800
442.8000,0.607900,5.367600
476.8700,0.727800,5.778100
516.6000,0.873400,6.241800
563.5700,1.072800,6.783900
619.9300,1.366000,7.405200
652.2500,1.572400,7.735400
688.8100,1.830100,8.060100
729.3200,2.160600,8.356500
774.9100,2.615400,8.491400
794.7800,2.767500,8.386600
815.6900,2.766800,8.257300
837.7400,2.694500,8.187800
885.6100,2.280200,8.113400
911.6600,1.973900,8.305800
939.2800,1.678400,8.597000
968.6300,1.486700,9.065500
999.8800,1.435900,9.493900
1033.2000,1.399800,9.891400
1127.1000,1.328100,10.969000
1239.9000,1.315700,12.245000
1377.6000,1.389900,13.784000
1549.8000,1.578200,15.656000
1771.2000,1.920500,17.991000
2066.4000,2.473800,20.982000
2479.7000,3.337200,25.004000
2755.2000,3.938000,27.580000
3099.6000,4.709700,30.737000
3262.8000,5.073500,32.183000
3444.0000,5.490300,33.814000
3646.6000,5.956400,35.608000
3874.5000,6.480800,37.595000
4132.8000,7.079600,39.826000
4428.0000,7.775700,42.367000
4768.7000,8.588100,45.257000
5166.0000,9.558000,48.593000
5635.7000,10.742000,52.518000
6199.3000,12.195000,57.156000
6888.1000,14.088000,62.841000
7749.1000,16.755000,69.857000
8856.1000,20.837000,78.274000
10332.0000,26.216000,88.197000
12399.0000,33.519000,101.280000
13776.0000,38.461000,108.960000
15498.0000,43.775000,118.390000
17712.0000,50.951000,129.490000
19075.0000,54.413000,136.090000
20664.0000,58.580000,144.230000
22543.0000,63.554000,153.450000
24797.0000,68.535000,164.810000
27552.0000,75.748000,181.780000
30996.0000,91.955000,199.990000
33333.0000,102.100000,208.100000
40000.0000,125.140000,230.190000
44444.0000,140.050000,243.430000
50000.0000,157.300000,258.260000
57144.0000,177.930000,275.340000
66666.0000,202.630000,295.420000
80001.0000,233.560000,321.080000
99996.0000,274.380000,354.350000
125000.0000,318.810000,391.710000
