wavelength_nm,n,k
300.0000,1.737560,0.000000
320.0000,1.727170,0.000000
340.0000,1.718860,0.000000
360.0000,1.712100,0.000000
380.0000,1.706520,0.000000
400.0000,1.701850,0.000000
420.0000,1.697910,0.000000
440.0000,1.694540,0.000000
460.0000,1.691640,0.000000
480.0000,1.689120,0.000000
500.0000,1.686910,0.000000
520.0000,1.684960,0.000000
540.0000,1.683240,0.000000
560.0000,1.681690,0.000000
580.0000,1.680310,0.000000
600.0000,1.679060,0.000000
620.0000,1.677920,0.000000
640.0000,1.676890,0.000000
660.0000,1.675940,0.000000
680.0000,1.675070,0.000000
700.0000,1.674270,0.000000
720.0000,1.673530,0.000000
740.0000,1.672830,0.000000
760.0000,1.672190,0.000000
780.0000,1.671580,0.000000
800.0000,1.671010,0.000000
820.0000,1.670470,0.000000
840.0000,1.669960,0.000000
860.0000,1.669480,0.000000
880.0000,1.669020,0.000000
900.0000,1.668580,0.000000
920.0000,1.668160,0.000000
940.0000,1.667760,0.000000
960.0000,1.667370,0.000000
980.0000,1.666990,0.000000
1000.0000,1.666630,0.000000
1020.0000,1.666280,0.000000
1040.0000,1.665940,0.000000
1060.0000,1.665610,0.000000
1080.0000,1.665280,0.000000
1100.0000,1.664960,0.000000
1120.0000,1.664650,0.000000
1140.0000,1.664350,0.000000
1160.0000,1.664050,0.000000
1180.0000,1.663760,0.000000
1200.0000,1.663470,0.000000
1220.0000,1.663180,0.000000
1240.0000,1.662900,0.000000
1260.0000,1.662620,0.000000
1280.0000,1.662340,0.000000
1300.0000,1.662070,0.000000
1320.0000,1.661800,0.000000
1340.0000,1.661520,0.000000
1360.0000,1.661250,0.000000
1380.0000,1.660990,0.000000
1400.0000,1.660720,0.000000
1420.0000,1.660450,0.000000
1440.0000,1.660190,0.000000
1460.0000,1.659920,0.000000
1480.0000,1.659650,0.000000
1500.0000,1.659390,0.000000
1520.0000,1.659120,0.000000
1540.0000,1.658860,0.000000
1560.0000,1.658590,0.000000
1580.0000,1.658320,0.000000
1600.0000,1.658050,0.000000
1620.0000,1.657780,0.000000
1640.0000,1.657510,0.000000
1660.0000,1.657240,0.000000
1680.0000,1.656970,0.000000
1700.0000,1.656700,0.000000
1720.0000,1.656420,0.000000
1740.0000,1.656150,0.000000
1760.0000,1.655870,0.000000
1780.0000,1.655590,0.000000
1800.0000,1.655310,0.000000
1820.0000,1.655030,0.000000
1840.0000,1.654750,0.000000
1860.0000,1.654460,0.000000
1880.0000,1.654180,0.000000
1900.0000,1.653890,0.000000
1920.0000,1.653600,0.000000
1940.0000,1.653300,0.000000
1960.0000,1.653010,0.000000
1980.0000,1.652710,0.000000
2000.0000,1.652410,0.000000
2020.0000,1.652110,0.000000
2040.0000,1.651810,0.000000
2060.0000,1.651500,0.000000
2080.0000,1.651200,0.000000
2100.0000,1.650890,0.000000
2120.0000,1.650570,0.000000
2140.0000,1.650260,0.000000
2160.0000,1.649940,0.000000
2180.0000,1.649620,0.000000
2200.0000,1.649300,0.000000
2220.0000,1.648980,0.000000
2240.0000,1.648650,0.000000
2260.0000,1.648320,0.000000
2280.0000,1.647990,0.000000
2300.0000,1.647650,0.000000
2318.8000,1.647330,0.000000
2339.8000,1.646980,0.000000
2356.8000,1.646690,0.000000
2378.4000,1.646320,0.000000
2396.0000,1.646010,0.000000
2418.3000,1.645620,0.000000
2436.5000,1.645300,0.000000
2459.6000,1.644890,0.000000
2478.4000,1.644550,0.000000
2497.5000,1.644200,0.000000
2516.9000,1.643850,0.000000
2536.6000,1.643490,0.000000
2556.7000,1.643120,0.000000
2577.0000,1.642740,0.000000
2597.6000,1.642350,0.000000
2618.6000,1.641950,0.000000
2640.0000,1.641550,0.000000
2656.2000,1.641230,0.000000
2678.2000,1.640810,0.000000
2694.9000,1.640480,0.000000
2717.5000,1.640040,0.000000
2734.7000,1.639700,0.000000
2757.9000,1.639230,0.000000
2775.6000,1.638870,0.000000
2799.6000,1.638390,0.000000
2817.9000,1.638010,0.000000
2836.4000,1.637630,0.000000
2855.1000,1.637240,0.000000
2874.1000,1.636850,0.000000
2899.8000,1.636300,0.000000
2919.4000,1.635890,0.000000
2939.3000,1.635460,0.000000
2959.4000,1.635030,0.000000
2979.8000,1.634580,0.000000
2993.6000,1.634280,0.000000
3014.5000,1.633820,0.000000
3035.7000,1.633350,0.000000
3057.1000,1.632870,0.000000
3078.9000,1.632380,0.000000
3093.6000,1.632050,0.000000
3115.9000,1.631530,0.000000
3138.6000,1.631010,0.000000
3153.8000,1.630660,0.000000
3177.0000,1.630120,0.000000
3192.7000,1.629750,0.000000
3216.4000,1.629180,0.000000
3232.5000,1.628800,0.000000
3256.9000,1.628210,0.000000
3273.3000,1.627810,0.000000
3298.3000,1.627200,0.000000
3315.2000,1.626790,0.000000
3332.2000,1.626360,0.000000
3358.1000,1.625720,0.000000
3375.6000,1.625280,0.000000
3393.3000,1.624830,0.000000
3411.1000,1.624370,0.000000
3438.3000,1.623680,0.000000
3456.6000,1.623200,0.000000
3475.1000,1.622720,0.000000
3493.9000,1.622230,0.000000
3512.8000,1.621720,0.000000
3532.0000,1.621220,0.000000
3551.3000,1.620700,0.000000
3570.9000,1.620170,0.000000
3590.7000,1.619630,0.000000
3610.7000,1.619080,0.000000
3630.9000,1.618530,0.000000
3651.3000,1.617960,0.000000
3672.0000,1.617380,0.000000
3693.0000,1.616790,0.000000
3714.1000,1.616190,0.000000
3735.5000,1.615580,0.000000
3757.2000,1.614960,0.000000
3779.1000,1.614320,0.000000
3790.1000,1.614000,0.000000
3812.4000,1.613350,0.000000
3835.0000,1.612680,0.000000
3857.8000,1.612000,0.000000
3869.3000,1.611650,0.000000
3892.6000,1.610950,0.000000
3916.1000,1.610240,0.000000
3939.9000,1.609510,0.000000
3951.9000,1.609140,0.000000
3976.2000,1.608390,0.000000
3988.4000,1.608000,0.000000
4013.1000,1.607230,0.000000
4038.1000,1.606440,0.000000
4050.7000,1.606030,0.000000
4076.2000,1.605220,0.000000
4089.0000,1.604800,0.000000
4115.0000,1.603960,0.000000
4128.1000,1.603530,0.000000
4154.6000,1.602660,0.000000
4167.9000,1.602210,0.000000
4194.9000,1.601310,0.000000
4208.5000,1.600860,0.000000
4236.0000,1.599920,0.000000
4249.9000,1.599450,0.000000
4278.0000,1.598490,0.000000
4292.1000,1.598000,0.000000
4306.4000,1.597500,0.000000
4335.2000,1.596490,0.000000
4349.8000,1.595980,0.000000
4379.1000,1.594940,0.000000
4394.0000,1.594410,0.000000
4408.9000,1.593870,0.000000
4439.1000,1.592780,0.000000
4454.4000,1.592220,0.000000
4469.7000,1.591660,0.000000
4485.2000,1.591090,0.000000
4516.5000,1.589930,0.000000
4532.3000,1.589330,0.000000
4548.2000,1.588740,0.000000
4564.2000,1.588130,0.000000
4596.5000,1.586900,0.000000
4612.9000,1.586270,0.000000
4629.4000,1.585630,0.000000
4646.0000,1.584980,0.000000
4679.5000,1.583670,0.000000
4696.5000,1.583000,0.000000
4713.6000,1.582320,0.000000
4730.8000,1.581630,0.000000
4748.1000,1.580930,0.000000
4765.5000,1.580230,0.000000
4783.1000,1.579510,0.000000
4818.7000,1.578050,0.000000
4836.7000,1.577310,0.000000
4854.8000,1.576550,0.000000
4873.0000,1.575790,0.000000
4891.4000,1.575010,0.000000
4910.0000,1.574230,0.000000
4928.6000,1.573430,0.000000
4947.4000,1.572620,0.000000
4966.4000,1.571800,0.000000
4985.5000,1.570970,0.000000
5004.7000,1.570130,0.000000
5024.1000,1.569280,0.000000
5043.7000,1.568410,0.000000
5063.4000,1.567530,0.000000
5083.2000,1.566640,0.000000
5103.3000,1.565730,0.000000
5123.4000,1.564820,0.000000
5143.8000,1.563880,0.000000
5164.3000,1.562940,0.000000
5184.9000,1.561980,0.000000
5205.7000,1.561000,0.000000
5226.7000,1.560020,0.000000
5247.9000,1.559010,0.000000
5269.2000,1.557990,0.000000
5290.7000,1.556960,0.000000
5312.4000,1.555910,0.000000
5334.3000,1.554840,0.000000
5356.3000,1.553750,0.000000
5378.5000,1.552650,0.000000
5400.9000,1.551530,0.000000
5423.5000,1.550400,0.000000
5446.3000,1.549240,0.000000
5469.3000,1.548070,0.000000
5492.5000,1.546870,0.000000
5515.9000,1.545660,0.000000
5539.4000,1.544430,0.000000
5563.2000,1.543170,0.000000
5587.2000,1.541900,0.000000
5611.4000,1.540600,0.000000
5635.8000,1.539280,0.000000
5660.4000,1.537940,0.000000
5685.2000,1.536570,0.000000
5710.3000,1.535180,0.000000
5735.5000,1.533770,0.000000
5761.0000,1.532330,0.000000
5786.7000,1.530870,0.000000
5812.7000,1.529370,0.000000
5838.9000,1.527860,0.000000
5865.3000,1.526310,0.000000
5891.9000,1.524730,0.000000
5918.8000,1.523130,0.000000
5946.0000,1.521500,0.000000
5973.4000,1.519830,0.000000
6001.1000,1.518130,0.000000
6029.0000,1.516400,0.000000
6057.1000,1.514640,0.000000
6085.6000,1.512840,0.000000
6114.3000,1.511000,0.000000
6143.3000,1.509130,0.000000
6172.5000,1.507220,0.000000
6202.0000,1.505270,0.000000
6231.9000,1.503290,0.000000
6262.0000,1.501260,0.000000
6292.4000,1.499180,0.000000
6323.1000,1.497070,0.000000
6354.1000,1.494900,0.000000
6385.4000,1.492700,0.000000
6417.0000,1.490440,0.000000
6448.9000,1.488130,0.000000
6481.1000,1.485770,0.000000
6513.7000,1.483360,0.000000
6546.6000,1.480890,0.000000
6579.8000,1.478370,0.000000
6613.4000,1.475790,0.000000
6647.3000,1.473150,0.000000
6681.6000,1.470440,0.000000
6716.2000,1.467670,0.000000
6751.2000,1.464830,0.000000
6786.5000,1.461920,0.000000
6822.3000,1.458940,0.000000
6858.3000,1.455890,0.000000
6894.8000,1.452760,0.000000
6931.7000,1.449540,0.000000
6969.0000,1.446250,0.000000
7006.6000,1.442860,0.000000
7044.7000,1.439390,0.000000
7083.2000,1.435820,0.000000
7122.1000,1.432160,0.000000
7161.5000,1.428390,0.000000
7201.3000,1.424520,0.000000
7241.5000,1.420540,0.000000
7282.2000,1.416440,0.000000
7323.3000,1.412230,0.000000
7364.9000,1.407890,0.000000
7407.0000,1.403420,0.000000
7449.6000,1.398820,0.000000
7492.6000,1.394080,0.000000
7536.2000,1.389190,0.000000
7580.3000,1.384140,0.000000
7624.9000,1.378930,0.000000
7670.0000,1.373560,0.000000
7715.6000,1.368010,0.000000
7761.8000,1.362270,0.000000
7808.6000,1.356340,0.000000
7855.9000,1.350210,0.000000
7903.8000,1.343860,0.000000
7952.3000,1.337280,0.000000
8001.4000,1.330470,0.000000
8051.1000,1.323400,0.000000
8101.4000,1.316070,0.000000
8152.4000,1.308460,0.000000
8204.0000,1.300550,0.000000
8256.2000,1.292330,0.000000
8309.1000,1.283770,0.000000
8362.8000,1.274850,0.000000
8417.1000,1.265560,0.000000
8472.1000,1.255860,0.000000
8527.8000,1.245730,0.000000
8584.3000,1.235140,0.000000
8641.5000,1.224050,0.000000
8699.5000,1.212430,0.000000
8758.3000,1.200230,0.000000
8817.9000,1.187420,0.000000
8878.3000,1.173940,0.000000
8939.5000,1.159750,0.000000
9001.6000,1.144770,0.000000
9064.5000,1.128950,0.000000
9128.4000,1.112220,0.000000
9193.1000,1.094500,0.000000
9258.8000,1.075700,0.000000
9325.4000,1.055740,0.000000
9393.0000,1.034530,0.000000
9461.5000,1.011950,0.000000
9531.1000,0.987910,0.000000
9601.7000,0.962300,0.000000
9673.3000,0.935010,0.000000
9746.1000,0.905980,0.000000
9819.9000,0.875150,0.000000
9894.9000,0.842540,0.000000
9971.0000,0.808280,0.000000
10048.0000,0.772680,0.000000
10127.0000,0.736360,0.000000
10207.0000,0.700350,0.000000
10288.0000,0.666160,0.000000
10370.0000,0.635670,0.000000
10453.0000,0.610800,0.000000
10538.0000,0.592890,0.000000
10625.0000,0.582420,0.000000
10713.0000,0.579130,0.000000
10802.0000,0.582310,0.000000
10893.0000,0.591160,0.000000
10985.0000,0.604930,0.000000
11079.0000,0.623010,0.000000
11174.0000,0.644910,0.000000
11272.0000,0.670240,0.000000
11370.0000,0.698700,0.000000
11471.0000,0.730040,0.000000
11573.0000,0.764070,0.000000
11678.0000,0.800600,0.000000
11784.0000,0.839460,0.000000
11892.0000,0.880530,0.000000
12002.0000,0.923650,0.000000
12114.0000,0.968670,0.000000
12229.0000,1.015450,0.000000
12345.0000,1.063850,0.000000
12464.0000,1.113690,0.000000
12585.0000,1.164820,0.000000
12708.0000,1.217080,0.000000
12834.0000,1.270280,0.000000
12962.0000,1.324230,0.000000
13093.0000,1.378750,0.000000
13227.0000,1.433660,0.000000
13363.0000,1.488730,0.000000
13502.0000,1.543780,0.000000
13645.0000,1.598600,0.000000
13790.0000,1.652990,0.000000
13938.0000,1.706750,0.000000
14089.0000,1.759690,0.000000
14244.0000,1.811590,0.000000
14403.0000,1.862290,0.000000
14564.0000,1.911610,0.000000
14730.0000,1.959380,0.000000
14899.0000,2.005420,0.000000
15072.0000,2.049620,0.000000
15250.0000,2.091840,0.000000
15431.0000,2.131950,0.000000
15617.0000,2.169870,0.000000
15808.0000,2.205510,0.000000
16003.0000,2.238810,0.000000
16203.0000,2.269730,0.000000
16408.0000,2.298250,0.000000
16618.0000,2.324360,0.000000
16834.0000,2.348080,0.000000
17056.0000,2.369430,0.000000
17283.0000,2.388480,0.000000
17517.0000,2.405300,0.000000
17757.0000,2.419970,0.000000
18003.0000,2.432590,0.000000
