wavelength_nm,n,k
210.0000,0.240000,1.976000
220.0000,0.223000,2.084000
230.0000,0.217000,2.199000
240.0000,0.215000,2.315000
250.0000,0.217000,2.433000
260.0000,0.223000,2.549000
270.0000,0.231000,2.665000
280.0000,0.242000,2.778000
290.0000,0.252000,2.891000
300.0000,0.263000,3.003000
310.0000,0.276000,3.114000
320.0000,0.287000,3.224000
330.0000,0.301000,3.336000
340.0000,0.312000,3.445000
350.0000,0.329000,3.557000
360.0000,0.343000,3.667000
370.0000,0.359000,3.779000
380.0000,0.378000,3.891000
390.0000,0.400000,4.001000
400.0000,0.420000,4.108000
410.0000,0.442000,4.216000
420.0000,0.463000,4.322000
430.0000,0.485000,4.429000
440.0000,0.508000,4.536000
450.0000,0.531000,4.643000
460.0000,0.557000,4.750000
470.0000,0.584000,4.856000
480.0000,0.612000,4.960000
490.0000,0.639000,5.064000
500.0000,0.668000,5.168000
510.0000,0.698000,5.272000
520.0000,0.729000,5.375000
530.0000,0.762000,5.476000
540.0000,0.796000,5.577000
550.0000,0.830000,5.676000
560.0000,0.864000,5.776000
570.0000,0.899000,5.876000
580.0000,0.936000,5.976000
590.0000,0.977000,6.075000
600.0000,1.019000,6.173000
610.0000,1.062000,6.268000
620.0000,1.106000,6.363000
630.0000,1.153000,6.457000
640.0000,1.203000,6.551000
650.0000,1.258000,6.641000
660.0000,1.314000,6.726000
670.0000,1.370000,6.808000
680.0000,1.427000,6.889000
690.0000,1.488000,6.966000
700.0000,1.551000,7.041000
710.0000,1.618000,7.111000
720.0000,1.687000,7.174000
730.0000,1.759000,7.232000
740.0000,1.833000,7.282000
750.0000,1.910000,7.324000
760.0000,1.990000,7.352000
770.0000,2.068000,7.365000
780.0000,2.139000,7.359000
790.0000,2.198000,7.339000
800.0000,2.239000,7.306000
810.1000,2.262000,7.264000
820.0000,2.262000,7.214000
830.0000,2.234000,7.166000
840.0000,2.180000,7.127000
850.0000,2.104000,7.107000
860.0000,2.014000,7.107000
870.0000,1.918000,7.131000
880.0000,1.820000,7.175000
890.0000,1.727000,7.238000
900.0000,1.640000,7.316000
910.0000,1.560000,7.405000
920.0000,1.489000,7.502000
930.0000,1.427000,7.607000
940.0000,1.373000,7.715000
