wavelength_nm,n,k
0.0103,0.999000,0.000000
0.0124,1.001000,0.000000
0.0155,1.000000,0.000000
0.0207,1.001000,0.000000
0.0248,1.001000,0.000000
0.0310,1.002000,0.000000
0.0413,1.002000,0.000000
0.0620,1.001000,0.000000
0.0827,1.000000,0.000000
0.1127,1.002000,0.000000
0.1378,1.000000,0.000000
0.1771,1.003000,0.000000
0.2480,1.002000,0.000001
0.4133,1.001000,0.000008
0.6199,1.000000,0.000032
0.7293,1.000000,0.000061
0.7514,1.000000,0.000046
0.7749,1.000000,0.000023
0.7999,1.000000,0.000006
0.8266,1.000000,0.000007
1.2400,1.000000,0.000031
1.5500,1.000000,0.000075
2.0660,0.999000,0.000227
2.4800,0.999000,0.000466
3.1000,0.998000,0.001010
3.5420,0.996000,0.001540
4.1330,0.996000,0.002570
4.4280,0.996000,0.003310
4.7690,0.992000,0.004260
5.1660,0.993000,0.005460
5.6360,0.993000,0.006960
6.1990,0.991000,0.008760
6.5250,0.989000,0.009870
6.8880,0.989000,0.011100
7.2930,0.988000,0.013700
7.7490,0.988000,0.016000
8.2660,0.989000,0.017300
8.5510,0.988000,0.018100
8.8560,0.988000,0.019100
8.9840,0.988000,0.019700
9.1160,0.987000,0.020400
9.2530,0.987000,0.021300
9.3930,0.986000,0.022600
9.5370,0.986000,0.024400
9.6860,0.987000,0.026100
9.8400,0.988000,0.027700
9.9990,0.989000,0.028800
10.1600,0.991000,0.029200
10.3300,0.992000,0.029400
10.4200,0.992000,0.029700
10.5100,0.992000,0.030000
10.6000,0.993000,0.030300
10.6900,0.993000,0.030100
10.7800,0.994000,0.030400
10.8800,0.994000,0.030600
10.9700,0.995000,0.030700
11.0700,0.995000,0.030900
11.1700,0.995000,0.030900
11.2700,0.996000,0.030700
11.3700,0.997000,0.030500
11.4800,0.997000,0.029900
11.5900,0.997000,0.029300
11.7000,0.996000,0.028600
11.8100,0.996000,0.028100
11.9200,0.994000,0.028100
12.0400,0.992000,0.028600
12.1600,0.992000,0.029900
12.2800,0.989000,0.032400
12.4000,0.989000,0.036300
12.5200,0.991000,0.039600
12.6500,0.994000,0.042700
12.7800,0.998000,0.044200
12.9200,1.001000,0.044200
13.0500,1.005000,0.043900
13.1900,1.007000,0.042600
13.3300,1.009000,0.041100
13.4800,1.011000,0.039800
13.6200,1.012000,0.038600
13.7800,1.013000,0.036600
13.9300,1.014000,0.035100
14.0900,1.014000,0.033500
14.2500,1.014000,0.032100
14.4200,1.014000,0.031500
14.5900,1.014000,0.031200
14.7600,1.016000,0.030600
14.9400,1.017000,0.028900
15.1200,1.017000,0.026900
15.3100,1.016000,0.025000
15.5000,1.016000,0.024300
15.6900,1.015000,0.023800
15.9000,1.014000,0.023800
16.1000,1.015000,0.024500
16.3100,1.016000,0.024000
16.5300,1.018000,0.024000
16.7500,1.021000,0.023600
16.8700,1.025000,0.024000
16.9100,1.028000,0.023800
16.9600,1.030000,0.019600
17.0100,1.036000,0.017400
17.0500,1.031000,0.006060
17.1000,1.026000,0.004790
17.2200,1.021000,0.004610
17.4600,1.015000,0.004500
17.7100,1.012000,0.004450
17.9700,1.009000,0.004400
18.5100,1.005000,0.004330
19.0700,1.001000,0.004270
20.6600,0.992000,0.004510
24.8000,0.974000,0.005840
31.0000,0.944000,0.008640
41.3300,0.882000,0.012500
61.9900,0.673000,0.026700
68.8800,0.564000,0.035500
77.4900,0.346000,0.064800
79.9900,0.252000,0.099700
82.6600,0.152000,0.187000
85.5100,0.107000,0.301000
88.5600,0.084000,0.404000
95.3700,0.065000,0.593000
103.3000,0.061000,0.767000
112.7000,0.061000,0.946000
137.8000,0.073000,1.350000
177.1000,0.098000,1.930000
248.0000,0.183000,2.880000
310.0000,0.298000,3.700000
413.3000,0.548000,5.000000
495.9000,0.771000,5.910000
619.9000,1.292000,7.280000
688.8000,1.731000,7.960000
729.3000,2.082000,8.340000
774.9000,2.588000,8.550000
826.6000,2.829000,7.750000
885.6000,1.916000,7.750000
953.7000,1.250000,8.680000
1033.0000,0.994000,9.730000
1127.0000,0.926000,10.900000
1240.0000,0.949000,12.200000
1378.0000,1.015000,13.700000
1771.0000,1.274000,17.800000
2480.0000,1.946000,25.100000
3100.0000,2.684000,31.300000
4133.0000,4.311000,41.800000
6199.0000,8.732000,62.000000
12400.0000,32.400000,119.000000
24800.0000,95.700000,185.000000
124000.0000,323.000000,383.000000
248000.0000,484.000000,528.000000
1240000.0000,1120.000000,1160.000000
