wavelength_nm,n,k
300.0000,1.699839,1.973158
310.0000,1.746949,1.974500
320.0000,1.782941,1.959796
330.0000,1.804653,1.931950
340.0000,1.804621,1.896797
350.0000,1.763712,1.870685
360.0000,1.713435,1.887670
370.0000,1.689202,1.922091
380.0000,1.678059,1.948382
390.0000,1.672504,1.966512
400.0000,1.665616,1.973924
410.0000,1.653911,1.975227
420.0000,1.637437,1.970305
430.0000,1.612343,1.959477
440.0000,1.581523,1.940313
450.0000,1.538326,1.910745
460.0000,1.475285,1.872316
470.0000,1.386263,1.827683
480.0000,1.252905,1.782098
490.0000,1.064360,1.767870
500.0000,0.848475,1.828280
510.0000,0.661636,1.964526
520.0000,0.529127,2.129736
530.0000,0.438041,2.294990
540.0000,0.372502,2.451664
550.0000,0.323931,2.597158
560.0000,0.284960,2.738978
570.0000,0.254069,2.871855
580.0000,0.228937,2.999519
590.0000,0.207122,3.121346
600.0000,0.188790,3.241703
610.0000,0.172726,3.356759
620.0000,0.160072,3.465635
630.0000,0.146368,3.577628
640.0000,0.135418,3.685965
650.0000,0.125499,3.792328
660.0000,0.117832,3.896137
670.0000,0.111118,3.999543
680.0000,0.105745,4.102704
690.0000,0.101509,4.205033
700.0000,0.098608,4.305081
710.0000,0.097790,4.403812
720.0000,0.098623,4.499192
730.0000,0.096904,4.595801
740.0000,0.099463,4.687205
750.0000,0.098537,4.781078
760.0000,0.099207,4.872355
770.0000,0.101707,4.958865
780.0000,0.101315,5.051561
790.0000,0.103068,5.148070
800.0000,0.104227,5.223683
810.0000,0.105938,5.313024
820.0000,0.104339,5.407392
830.0000,0.104535,5.492443
840.0000,0.107001,5.577047
850.0000,0.111013,5.659269
860.0000,0.110763,5.749197
870.0000,0.112039,5.830571
880.0000,0.114173,5.912955
890.0000,0.116005,5.992867
900.0000,0.116828,6.081994
910.0000,0.116997,6.163821
920.0000,0.119457,6.241576
930.0000,0.120636,6.328551
940.0000,0.122559,6.410384
950.0000,0.124003,6.491793
960.0000,0.123935,6.573991
970.0000,0.126244,6.662878
980.0000,0.127975,6.738054
990.0000,0.129943,6.819156
1000.0000,0.132312,6.904528
1010.0000,0.133908,6.978319
1020.0000,0.135401,7.061610
1030.0000,0.138149,7.141574
1040.0000,0.137938,7.222467
1050.0000,0.139247,7.302150
1060.0000,0.134049,7.406617
1070.0000,0.135718,7.482808
1080.0000,0.140363,7.556831
1090.0000,0.138686,7.637030
1100.0000,0.138419,7.719337
1110.0000,0.139443,7.799964
1120.0000,0.141678,7.874203
1130.0000,0.141308,7.960965
1140.0000,0.140236,8.050383
1150.0000,0.142818,8.114887
1160.0000,0.146729,8.201496
1170.0000,0.152748,8.267547
1180.0000,0.149693,8.350414
1190.0000,0.147906,8.443511
1200.0000,0.149395,8.515006
1210.0000,0.151985,8.590000
1220.0000,0.153423,8.666864
1230.0000,0.153671,8.744348
1240.0000,0.157748,8.817533
1250.0000,0.159662,8.900983
1260.0000,0.165494,8.987624
1270.0000,0.159382,9.068760
1280.0000,0.163849,9.146521
1290.0000,0.166212,9.226192
1300.0000,0.166156,9.303580
1310.0000,0.170115,9.372456
1320.0000,0.169795,9.445201
1330.0000,0.174810,9.530926
1340.0000,0.176209,9.612442
1350.0000,0.179586,9.687582
1360.0000,0.177483,9.769365
1370.0000,0.184296,9.839358
1380.0000,0.186298,9.916386
1390.0000,0.190838,9.992268
1400.0000,0.191102,10.071570
1410.0000,0.194362,10.141389
1420.0000,0.205427,10.222632
1430.0000,0.208361,10.321503
1440.0000,0.206557,10.375098
1450.0000,0.208044,10.465815
1460.0000,0.205759,10.540509
1470.0000,0.212406,10.642139
1480.0000,0.216698,10.705931
1490.0000,0.219902,10.780462
1500.0000,0.215399,10.858932
1510.0000,0.219569,10.911380
1520.0000,0.222004,11.005875
1530.0000,0.230589,11.086170
1540.0000,0.235211,11.168497
1550.0000,0.238230,11.263070
1560.0000,0.236762,11.317069
1570.0000,0.235275,11.380921
1580.0000,0.240819,11.442814
1590.0000,0.246290,11.531724
1600.0000,0.243653,11.642996
1610.0000,0.252115,11.709123
1620.0000,0.248830,11.783544
1630.0000,0.264448,11.865072
1640.0000,0.258451,11.927984
1650.0000,0.265883,12.011690
1660.0000,0.278561,12.069697
1670.0000,0.278189,12.187592
1680.0000,0.280900,12.240462
1690.0000,0.290245,12.346831
1700.0000,0.316482,12.370536
