wavelength_nm,n,k
187.9000,1.280000,1.188000
191.6000,1.320000,1.203000
195.3000,1.340000,1.226000
199.3000,1.330000,1.251000
203.3000,1.330000,1.277000
207.3000,1.300000,1.304000
211.9000,1.300000,1.350000
216.4000,1.300000,1.387000
221.4000,1.300000,1.427000
226.2000,1.310000,1.460000
231.3000,1.300000,1.497000
237.1000,1.320000,1.536000
242.6000,1.320000,1.577000
249.0000,1.330000,1.631000
255.1000,1.330000,1.688000
261.6000,1.350000,1.749000
268.9000,1.380000,1.803000
276.1000,1.430000,1.847000
284.4000,1.470000,1.869000
292.4000,1.490000,1.878000
300.9000,1.530000,1.889000
310.7000,1.530000,1.893000
320.4000,1.540000,1.898000
331.5000,1.480000,1.883000
342.5000,1.480000,1.871000
354.2000,1.500000,1.866000
367.9000,1.480000,1.895000
381.5000,1.460000,1.933000
397.4000,1.470000,1.952000
413.3000,1.460000,1.958000
430.5000,1.450000,1.948000
450.9000,1.380000,1.914000
471.4000,1.310000,1.849000
495.9000,1.040000,1.833000
520.9000,0.620000,2.081000
548.6000,0.430000,2.455000
582.1000,0.290000,2.863000
616.8000,0.210000,3.272000
659.5000,0.140000,3.697000
704.5000,0.130000,4.103000
756.0000,0.140000,4.542000
821.1000,0.160000,5.083000
892.0000,0.170000,5.663000
984.0000,0.220000,6.350000
1088.0000,0.270000,7.150000
1216.0000,0.350000,8.145000
1393.0000,0.430000,9.519000
1610.0000,0.560000,11.210000
1937.0000,0.920000,13.780000
