wavelength_nm,n,k
0.0083,1.000000,0.000000
0.0149,1.002000,0.000000
0.0155,1.000000,0.000000
0.0248,1.000000,0.000000
0.0413,1.000000,0.000000
0.0620,1.000000,0.000001
0.0827,1.000000,0.000002
0.0886,1.001000,0.000002
0.0954,1.001000,0.000003
0.1240,1.000000,0.000003
0.2480,1.001000,0.000029
0.4275,0.999000,0.000164
0.4350,0.999000,0.000145
0.4959,1.000000,0.000211
0.6199,1.000000,0.000120
1.2400,0.998000,0.000960
1.5500,0.997000,0.001630
2.0660,0.996000,0.003400
2.4800,0.995000,0.004710
3.5420,0.992000,0.007310
4.1330,0.991000,0.008950
4.4280,0.989000,0.009760
4.7690,0.988000,0.010600
5.1660,0.987000,0.011300
5.6360,0.986000,0.011800
6.1990,0.983000,0.011500
6.5250,0.981000,0.011100
6.8880,0.979000,0.010700
7.2930,0.975000,0.010300
7.7490,0.970000,0.010100
8.2660,0.963000,0.010100
8.8560,0.955000,0.010900
9.1840,0.949000,0.011800
9.5370,0.944000,0.013300
9.9190,0.937000,0.015200
10.3300,0.929000,0.017800
10.7800,0.920000,0.022400
11.2700,0.911000,0.028300
11.8100,0.900000,0.035300
12.4000,0.889000,0.045400
13.0500,0.877000,0.057000
13.3300,0.872000,0.063600
13.6200,0.868000,0.071800
13.9300,0.865000,0.080700
14.0900,0.866000,0.083800
14.1700,0.865000,0.084400
14.2500,0.863000,0.087000
14.4200,0.862000,0.091800
14.5900,0.864000,0.095600
14.6700,0.865000,0.096200
14.7600,0.865000,0.093800
14.8500,0.861000,0.094300
14.9400,0.860000,0.096300
15.1200,0.857000,0.101000
15.5000,0.853000,0.109000
15.9000,0.850000,0.117000
16.3100,0.847000,0.124000
16.7500,0.842000,0.131000
17.2200,0.835000,0.140000
17.7100,0.828000,0.155000
18.2300,0.827000,0.171000
18.7900,0.828000,0.186000
19.3700,0.830000,0.199000
20.0000,0.833000,0.211000
20.6600,0.838000,0.219000
21.3800,0.836000,0.223000
22.1400,0.830000,0.230000
22.9600,0.820000,0.241000
23.8400,0.808000,0.255000
24.8000,0.795000,0.272000
25.3000,0.787000,0.284000
25.8300,0.778000,0.298000
26.3800,0.771000,0.315000
26.9500,0.767000,0.335000
27.5500,0.767000,0.355000
28.1800,0.770000,0.371000
28.8300,0.770000,0.384000
29.5200,0.766000,0.398000
30.2400,0.760000,0.415000
31.0000,0.754000,0.438000
31.7900,0.751000,0.461000
32.6300,0.749000,0.484000
33.5100,0.745000,0.511000
34.4400,0.741000,0.540000
35.4200,0.737000,0.573000
36.4700,0.730000,0.617000
37.5700,0.730000,0.672000
38.7500,0.757000,0.747000
39.9900,0.818000,0.788000
40.6500,0.844000,0.799000
41.3300,0.868000,0.804000
42.0300,0.887000,0.803000
42.7500,0.896000,0.802000
44.2800,0.892000,0.814000
45.9200,0.885000,0.855000
47.6900,0.886000,0.917000
49.5900,0.905000,1.000000
51.6600,0.953000,1.120000
52.7600,1.005000,1.180000
53.9100,1.080000,1.240000
55.1000,1.183000,1.280000
56.3600,1.292000,1.290000
57.6700,1.406000,1.270000
59.0400,1.499000,1.210000
61.9900,1.584000,1.070000
65.2500,1.612000,0.950000
68.8800,1.565000,0.865000
72.9300,1.513000,0.865000
77.4900,1.505000,0.898000
82.6600,1.540000,0.934000
88.5600,1.591000,0.922000
95.3700,1.592000,0.899000
103.3000,1.583000,0.908000
107.8000,1.569000,0.920000
112.7000,1.556000,0.945000
118.1000,1.548000,0.990000
124.0000,1.572000,1.050000
130.5000,1.585000,1.070000
137.8000,1.614000,1.140000
145.9000,1.666000,1.170000
155.0000,1.727000,1.220000
165.3000,1.786000,1.150000
177.1000,1.728000,1.130000
190.7000,1.665000,1.190000
206.6000,1.618000,1.300000
225.4000,1.603000,1.450000
248.0000,1.638000,1.650000
261.0000,1.702000,1.770000
281.8000,1.848000,1.870000
295.2000,1.927000,1.890000
310.0000,1.995000,1.880000
326.3000,2.039000,1.860000
344.4000,2.024000,1.810000
359.4000,1.967000,1.840000
375.7000,1.960000,1.880000
393.6000,1.960000,1.890000
413.3000,1.950000,1.860000
442.8000,1.862000,1.810000
476.9000,1.541000,1.710000
516.6000,0.878000,2.010000
563.6000,0.613000,2.640000
619.9000,0.487000,3.310000
826.6000,0.418000,5.130000
1240.0000,0.375000,8.360000
2480.0000,1.273000,18.100000
12400.0000,26.900000,80.700000
24800.0000,65.500000,124.000000
124000.0000,222.000000,256.000000
248000.0000,345.000000,379.000000
