wavelength_nm,n,k
130.1000,2.149000,0.701650
130.7100,2.148000,0.690600
131.3200,2.146600,0.680160
131.9400,2.145000,0.670360
132.5600,2.143200,0.661230
133.1900,2.141500,0.652750
133.8200,2.139800,0.644910
134.4700,2.138300,0.637670
135.1100,2.137100,0.630950
135.7700,2.136300,0.624680
136.4300,2.135800,0.618770
137.1000,2.135800,0.613110
137.7700,2.136300,0.607570
138.4500,2.137200,0.602060
139.1400,2.138500,0.596460
139.8300,2.140200,0.590670
140.5300,2.142100,0.584630
141.2400,2.144200,0.578270
141.9600,2.146200,0.571560
142.6800,2.148200,0.564530
143.4100,2.149900,0.557190
144.1400,2.151300,0.549630
144.8900,2.152300,0.541940
145.6400,2.152700,0.534250
146.4000,2.152500,0.526710
147.1700,2.151600,0.519490
147.9500,2.150200,0.512800
148.7300,2.148100,0.506820
149.5300,2.145600,0.501760
150.3300,2.142600,0.497850
151.1400,2.139400,0.495280
151.9600,2.136100,0.494270
152.7900,2.133000,0.495020
153.6200,2.130300,0.497690
154.4700,2.128400,0.502390
155.3200,2.127300,0.509120
156.1900,2.126600,0.517560
157.0600,2.123700,0.529040
157.9500,2.116000,0.550760
158.8400,2.112400,0.597510
159.7500,2.142300,0.666740
160.6700,2.201900,0.732510
161.5900,2.322500,0.832930
162.5300,2.585500,0.822190
163.4800,2.781900,0.618510
164.4300,2.819000,0.361160
165.4000,2.734100,0.161550
166.3900,2.608500,0.054614
167.3800,2.499300,0.014505
168.3800,2.420200,0.003798
169.4000,2.363400,0.001571
170.4300,2.319900,0.001043
171.4700,2.284500,0.000797
172.5300,2.254500,0.000624
173.6000,2.228500,0.000494
174.6800,2.205500,0.000398
175.7700,2.184800,0.000326
176.8800,2.166100,0.000274
178.0100,2.149000,0.000236
179.1400,2.133200,0.000208
180.3000,2.118600,0.000188
181.4600,2.104900,0.000173
182.6400,2.092200,0.000162
183.8400,2.080100,0.000153
185.0600,2.068800,0.000146
186.2800,2.058100,0.000140
187.5300,2.047900,0.000134
188.7900,2.038200,0.000129
190.0700,2.029000,0.000124
191.3700,2.020200,0.000120
192.6900,2.011800,0.000115
194.0200,2.003700,0.000110
195.3700,1.995900,0.000106
196.7400,1.988400,0.000101
198.1300,1.981200,0.000097
199.5400,1.974300,0.000092
200.9700,1.967600,0.000088
202.4200,1.961100,0.000083
203.9000,1.954900,0.000079
205.3900,1.948800,0.000074
206.9100,1.943000,0.000070
208.4400,1.937300,0.000066
210.0000,1.931800,0.000063
211.5900,1.926400,0.000059
213.2000,1.921200,0.000056
214.8300,1.916200,0.000053
216.4900,1.911300,0.000050
218.1800,1.906500,0.000047
219.8900,1.901900,0.000045
221.6300,1.897300,0.000043
223.3900,1.892900,0.000042
225.1900,1.888600,0.000040
227.0100,1.884400,0.000039
228.8600,1.880400,0.000038
230.7400,1.876400,0.000037
232.6600,1.872500,0.000036
234.6100,1.868700,0.000036
236.5900,1.865000,0.000035
238.6000,1.861300,0.000034
240.6500,1.857800,0.000034
242.7300,1.854300,0.000033
244.8500,1.851000,0.000032
247.0100,1.847600,0.000030
249.2000,1.844400,0.000029
251.4400,1.841200,0.000028
253.7100,1.838100,0.000026
256.0300,1.835100,0.000025
258.3900,1.832100,0.000024
260.7900,1.829200,0.000023
263.2400,1.826400,0.000022
265.7400,1.823600,0.000021
268.2800,1.820800,0.000020
270.8700,1.818100,0.000020
273.5100,1.815500,0.000020
276.2100,1.813000,0.000019
278.9600,1.810400,0.000019
281.7600,1.808000,0.000018
284.6200,1.805500,0.000018
287.5400,1.803200,0.000017
290.5200,1.800800,0.000016
293.5600,1.798500,0.000015
296.6700,1.796300,0.000014
299.8400,1.794100,0.000012
303.0800,1.792000,0.000011
306.3900,1.789800,0.000010
309.7800,1.787800,0.000009
313.2400,1.785700,0.000008
316.7800,1.783800,0.000007
320.4000,1.781800,0.000007
324.1000,1.779900,0.000006
327.8900,1.778000,0.000006
331.7700,1.776200,0.000006
335.7400,1.774300,0.000005
339.8100,1.772600,0.000005
343.9800,1.770800,0.000005
348.2600,1.769100,0.000005
352.6400,1.767400,0.000005
357.1300,1.765800,0.000005
361.7300,1.764200,0.000005
366.4600,1.762600,0.000005
371.3200,1.761100,0.000005
376.3000,1.759500,0.000005
381.4200,1.758000,0.000005
386.6800,1.756600,0.000005
392.0900,1.755100,0.000005
397.6500,1.753700,0.000005
403.3700,1.752400,0.000005
409.2600,1.751000,0.000005
415.3200,1.749700,0.000005
421.5600,1.748400,0.000005
428.0000,1.747100,0.000005
434.6300,1.745900,0.000005
441.4800,1.744600,0.000005
448.5400,1.743500,0.000005
455.8300,1.742300,0.000005
463.3700,1.741100,0.000005
471.1500,1.740000,0.000005
479.2100,1.738900,0.000005
487.5400,1.737800,0.000005
496.1700,1.736800,0.000005
505.1000,1.735800,0.000005
514.3700,1.734800,0.000005
523.9800,1.733800,0.000005
533.9600,1.732800,0.000005
544.3300,1.731900,0.000005
555.1100,1.730900,0.000005
566.3200,1.730000,0.000005
577.9900,1.729200,0.000005
590.1600,1.728300,0.000005
602.8500,1.727500,0.000005
616.1000,1.726700,0.000005
629.9400,1.725900,0.000005
644.4200,1.725100,0.000005
659.5800,1.724300,0.000005
675.4700,1.723600,0.000005
692.1400,1.722900,0.000005
709.6600,1.722200,0.000005
728.0900,1.721500,0.000005
747.5000,1.720900,0.000005
767.9800,1.720200,0.000005
789.6100,1.719600,0.000005
812.4900,1.719000,0.000005
836.7400,1.718400,0.000005
862.4800,1.717900,0.000005
889.8500,1.717300,0.000005
919.0200,1.716800,0.000005
950.1600,1.716300,0.000005
983.4900,1.715800,0.000005
1019.2000,1.715300,0.000005
1057.7000,1.714900,0.000005
1099.2000,1.714400,0.000005
1144.0000,1.714000,0.000005
1192.7000,1.713600,0.000005
1245.7000,1.713200,0.000005
1303.6000,1.712900,0.000005
1367.1000,1.712500,0.000005
1437.2000,1.712200,0.000005
1514.9000,1.711900,0.000005
1601.4000,1.711600,0.000005
1698.4000,1.711200,0.000005
1700.0000,1.711200,0.000005
1857.3000,1.709100,0.000007
2014.6000,1.706900,0.000009
2171.9000,1.704600,0.000011
2329.1000,1.702100,0.000014
2486.4000,1.699600,0.000017
2643.7000,1.696900,0.000020
2801.0000,1.694000,0.000025
2958.3000,1.691000,0.000029
3115.6000,1.687800,0.000034
3272.9000,1.684500,0.000040
3430.2000,1.681000,0.000046
3587.4000,1.677300,0.000054
3744.7000,1.673400,0.000062
3902.0000,1.669300,0.000070
4059.3000,1.665100,0.000080
4216.6000,1.660700,0.000091
4373.9000,1.656000,0.000103
4531.2000,1.651200,0.000115
4688.4000,1.646100,0.000129
4845.7000,1.640900,0.000145
