wavelength_nm,n,k
360.0000,1.773527,0.000000
361.0000,1.773191,0.000000
362.0000,1.772858,0.000000
363.0000,1.772529,0.000000
364.0000,1.772202,0.000000
365.0000,1.771879,0.000000
366.0000,1.771559,0.000000
367.0000,1.771241,0.000000
368.0000,1.770926,0.000000
369.0000,1.770615,0.000000
370.0000,1.770306,0.000000
371.0000,1.770000,0.000000
372.0000,1.769697,0.000000
373.0000,1.769396,0.000000
374.0000,1.769098,0.000000
375.0000,1.768803,0.000000
376.0000,1.768510,0.000000
377.0000,1.768220,0.000000
378.0000,1.767933,0.000000
379.0000,1.767648,0.000000
380.0000,1.767366,0.000000
381.0000,1.767086,0.000000
382.0000,1.766808,0.000000
383.0000,1.766533,0.000000
384.0000,1.766261,0.000000
385.0000,1.765990,0.000000
386.0000,1.765722,0.000000
387.0000,1.765457,0.000000
388.0000,1.765193,0.000000
389.0000,1.764932,0.000000
390.0000,1.764673,0.000000
391.0000,1.764416,0.000000
392.0000,1.764162,0.000000
393.0000,1.763909,0.000000
394.0000,1.763659,0.000000
395.0000,1.763411,0.000000
396.0000,1.763165,0.000000
397.0000,1.762920,0.000000
398.0000,1.762678,0.000000
399.0000,1.762438,0.000000
400.0000,1.762200,0.000000
401.0000,1.761964,0.000000
402.0000,1.761730,0.000000
403.0000,1.761497,0.000000
404.0000,1.761267,0.000000
405.0000,1.761038,0.000000
406.0000,1.760812,0.000000
407.0000,1.760587,0.000000
408.0000,1.760364,0.000000
409.0000,1.760142,0.000000
410.0000,1.759923,0.000000
411.0000,1.759705,0.000000
412.0000,1.759489,0.000000
413.0000,1.759274,0.000000
414.0000,1.759062,0.000000
415.0000,1.758851,0.000000
416.0000,1.758641,0.000000
417.0000,1.758434,0.000000
418.0000,1.758227,0.000000
419.0000,1.758023,0.000000
420.0000,1.757820,0.000000
421.0000,1.757619,0.000000
422.0000,1.757419,0.000000
423.0000,1.757220,0.000000
424.0000,1.757024,0.000000
425.0000,1.756828,0.000000
426.0000,1.756635,0.000000
427.0000,1.756442,0.000000
428.0000,1.756251,0.000000
429.0000,1.756062,0.000000
430.0000,1.755874,0.000000
431.0000,1.755687,0.000000
432.0000,1.755502,0.000000
433.0000,1.755318,0.000000
434.0000,1.755136,0.000000
435.0000,1.754954,0.000000
436.0000,1.754775,0.000000
437.0000,1.754596,0.000000
438.0000,1.754419,0.000000
439.0000,1.754243,0.000000
440.0000,1.754069,0.000000
441.0000,1.753895,0.000000
442.0000,1.753723,0.000000
443.0000,1.753552,0.000000
444.0000,1.753383,0.000000
445.0000,1.753214,0.000000
446.0000,1.753047,0.000000
447.0000,1.752881,0.000000
448.0000,1.752716,0.000000
449.0000,1.752553,0.000000
450.0000,1.752390,0.000000
451.0000,1.752229,0.000000
452.0000,1.752069,0.000000
453.0000,1.751910,0.000000
454.0000,1.751752,0.000000
455.0000,1.751595,0.000000
456.0000,1.751439,0.000000
457.0000,1.751284,0.000000
458.0000,1.751131,0.000000
459.0000,1.750978,0.000000
460.0000,1.750827,0.000000
461.0000,1.750676,0.000000
462.0000,1.750527,0.000000
463.0000,1.750379,0.000000
464.0000,1.750231,0.000000
465.0000,1.750085,0.000000
466.0000,1.749939,0.000000
467.0000,1.749795,0.000000
468.0000,1.749652,0.000000
469.0000,1.749509,0.000000
470.0000,1.749368,0.000000
471.0000,1.749227,0.000000
472.0000,1.749087,0.000000
473.0000,1.748949,0.000000
474.0000,1.748811,0.000000
475.0000,1.748674,0.000000
476.0000,1.748538,0.000000
477.0000,1.748403,0.000000
478.0000,1.748269,0.000000
479.0000,1.748135,0.000000
480.0000,1.748003,0.000000
481.0000,1.747871,0.000000
482.0000,1.747741,0.000000
483.0000,1.747611,0.000000
484.0000,1.747482,0.000000
485.0000,1.747353,0.000000
486.0000,1.747226,0.000000
487.0000,1.747100,0.000000
488.0000,1.746974,0.000000
489.0000,1.746849,0.000000
490.0000,1.746725,0.000000
491.0000,1.746601,0.000000
492.0000,1.746479,0.000000
493.0000,1.746357,0.000000
494.0000,1.746236,0.000000
495.0000,1.746115,0.000000
