wavelength_nm,n,k
150.0000,2.144044,0.000000
151.0000,2.132766,0.000000
152.0000,2.122108,0.000000
153.0000,2.112017,0.000000
154.0000,2.102446,0.000000
155.0000,2.093353,0.000000
156.0000,2.084702,0.000000
157.0000,2.076459,0.000000
158.0000,2.068595,0.000000
159.0000,2.061082,0.000000
160.0000,2.053896,0.000000
161.0000,2.047015,0.000000
162.0000,2.040419,0.000000
163.0000,2.034090,0.000000
164.0000,2.028012,0.000000
165.0000,2.022168,0.000000
166.0000,2.016545,0.000000
167.0000,2.011131,0.000000
168.0000,2.005913,0.000000
169.0000,2.000881,0.000000
170.0000,1.996024,0.000000
171.0000,1.991333,0.000000
172.0000,1.986800,0.000000
173.0000,1.982416,0.000000
174.0000,1.978174,0.000000
175.0000,1.974067,0.000000
176.0000,1.970088,0.000000
177.0000,1.966232,0.000000
178.0000,1.962492,0.000000
179.0000,1.958864,0.000000
180.0000,1.955342,0.000000
181.0000,1.951922,0.000000
182.0000,1.948599,0.000000
183.0000,1.945369,0.000000
184.0000,1.942228,0.000000
185.0000,1.939173,0.000000
186.0000,1.936199,0.000000
187.0000,1.933305,0.000000
188.0000,1.930486,0.000000
189.0000,1.927740,0.000000
190.0000,1.925064,0.000000
191.0000,1.922455,0.000000
192.0000,1.919911,0.000000
193.0000,1.917429,0.000000
194.0000,1.915007,0.000000
195.0000,1.912643,0.000000
196.0000,1.910336,0.000000
197.0000,1.908082,0.000000
198.0000,1.905880,0.000000
199.0000,1.903729,0.000000
200.0000,1.901626,0.000000
201.0000,1.899571,0.000000
202.0000,1.897560,0.000000
203.0000,1.895594,0.000000
204.0000,1.893671,0.000000
205.0000,1.891789,0.000000
206.0000,1.889946,0.000000
207.0000,1.888143,0.000000
208.0000,1.886377,0.000000
209.0000,1.884648,0.000000
210.0000,1.882953,0.000000
211.0000,1.881293,0.000000
212.0000,1.879667,0.000000
213.0000,1.878073,0.000000
214.0000,1.876510,0.000000
215.0000,1.874977,0.000000
216.0000,1.873474,0.000000
217.0000,1.872000,0.000000
218.0000,1.870554,0.000000
219.0000,1.869136,0.000000
220.0000,1.867743,0.000000
221.0000,1.866377,0.000000
222.0000,1.865036,0.000000
223.0000,1.863719,0.000000
224.0000,1.862426,0.000000
225.0000,1.861156,0.000000
226.0000,1.859908,0.000000
227.0000,1.858683,0.000000
228.0000,1.857479,0.000000
229.0000,1.856296,0.000000
230.0000,1.855134,0.000000
231.0000,1.853991,0.000000
232.0000,1.852868,0.000000
233.0000,1.851763,0.000000
234.0000,1.850677,0.000000
235.0000,1.849610,0.000000
236.0000,1.848560,0.000000
237.0000,1.847527,0.000000
238.0000,1.846510,0.000000
239.0000,1.845511,0.000000
240.0000,1.844527,0.000000
241.0000,1.843559,0.000000
242.0000,1.842606,0.000000
243.0000,1.841669,0.000000
244.0000,1.840746,0.000000
245.0000,1.839837,0.000000
246.0000,1.838942,0.000000
247.0000,1.838061,0.000000
248.0000,1.837193,0.000000
249.0000,1.836339,0.000000
250.0000,1.835497,0.000000
251.0000,1.834668,0.000000
252.0000,1.833851,0.000000
253.0000,1.833046,0.000000
254.0000,1.832253,0.000000
255.0000,1.831472,0.000000
256.0000,1.830702,0.000000
257.0000,1.829943,0.000000
258.0000,1.829194,0.000000
259.0000,1.828457,0.000000
260.0000,1.827730,0.000000
261.0000,1.827013,0.000000
262.0000,1.826306,0.000000
263.0000,1.825609,0.000000
264.0000,1.824921,0.000000
265.0000,1.824243,0.000000
266.0000,1.823574,0.000000
267.0000,1.822915,0.000000
268.0000,1.822264,0.000000
269.0000,1.821622,0.000000
270.0000,1.820988,0.000000
271.0000,1.820363,0.000000
272.0000,1.819746,0.000000
273.0000,1.819138,0.000000
274.0000,1.818537,0.000000
275.0000,1.817944,0.000000
276.0000,1.817359,0.000000
277.0000,1.816781,0.000000
278.0000,1.816211,0.000000
279.0000,1.815648,0.000000
280.0000,1.815092,0.000000
281.0000,1.814543,0.000000
282.0000,1.814000,0.000000
283.0000,1.813465,0.000000
284.0000,1.812936,0.000000
285.0000,1.812414,0.000000
286.0000,1.811899,0.000000
287.0000,1.811389,0.000000
288.0000,1.810886,0.000000
289.0000,1.810389,0.000000
290.0000,1.809898,0.000000
291.0000,1.809412,0.000000
292.0000,1.808933,0.000000
293.0000,1.808459,0.000000
294.0000,1.807991,0.000000
295.0000,1.807528,0.000000
296.0000,1.807071,0.000000
297.0000,1.806619,0.000000
298.0000,1.806172,0.000000
299.0000,1.805731,0.000000
300.0000,1.805294,0.000000
301.0000,1.804863,0.000000
302.0000,1.804436,0.000000
303.0000,1.804015,0.000000
304.0000,1.803598,0.000000
305.0000,1.803185,0.000000
306.0000,1.802778,0.000000
307.0000,1.802375,0.000000
308.0000,1.801976,0.000000
309.0000,1.801582,0.000000
310.0000,1.801192,0.000000
311.0000,1.800806,0.000000
312.0000,1.800425,0.000000
313.0000,1.800047,0.000000
314.0000,1.799674,0.000000
315.0000,1.799305,0.000000
316.0000,1.798940,0.000000
317.0000,1.798578,0.000000
318.0000,1.798221,0.000000
319.0000,1.797867,0.000000
320.0000,1.797517,0.000000
321.0000,1.797171,0.000000
322.0000,1.796828,0.000000
323.0000,1.796489,0.000000
324.0000,1.796153,0.000000
325.0000,1.795821,0.000000
326.0000,1.795492,0.000000
327.0000,1.795167,0.000000
328.0000,1.794845,0.000000
329.0000,1.794526,0.000000
330.0000,1.794210,0.000000
331.0000,1.793898,0.000000
332.0000,1.793588,0.000000
333.0000,1.793282,0.000000
334.0000,1.792979,0.000000
335.0000,1.792679,0.000000
336.0000,1.792382,0.000000
337.0000,1.792087,0.000000
338.0000,1.791796,0.000000
339.0000,1.791507,0.000000
340.0000,1.791222,0.000000
341.0000,1.790939,0.000000
342.0000,1.790658,0.000000
343.0000,1.790381,0.000000
344.0000,1.790106,0.000000
345.0000,1.789833,0.000000
346.0000,1.789564,0.000000
347.0000,1.789297,0.000000
348.0000,1.789032,0.000000
349.0000,1.788770,0.000000
350.0000,1.788510,0.000000
351.0000,1.788253,0.000000
352.0000,1.787998,0.000000
353.0000,1.787745,0.000000
354.0000,1.787495,0.000000
355.0000,1.787247,0.000000
356.0000,1.787002,0.000000
357.0000,1.786758,0.000000
358.0000,1.786517,0.000000
359.0000,1.786278,0.000000
360.0000,1.786041,0.000000
361.0000,1.785806,0.000000
362.0000,1.785574,0.000000
363.0000,1.785343,0.000000
364.0000,1.785115,0.000000
365.0000,1.784888,0.000000
366.0000,1.784664,0.000000
367.0000,1.784441,0.000000
368.0000,1.784221,0.000000
369.0000,1.784002,0.000000
370.0000,1.783785,0.000000
371.0000,1.783571,0.000000
372.0000,1.783358,0.000000
373.0000,1.783146,0.000000
374.0000,1.782937,0.000000
375.0000,1.782730,0.000000
376.0000,1.782524,0.000000
