wavelength_nm,n,k
150.0000,2.154426,0.000000
151.0000,2.143501,0.000000
152.0000,2.133140,0.000000
153.0000,2.123300,0.000000
154.0000,2.113939,0.000000
155.0000,2.105023,0.000000
156.0000,2.096518,0.000000
157.0000,2.088395,0.000000
158.0000,2.080628,0.000000
159.0000,2.073194,0.000000
160.0000,2.066070,0.000000
161.0000,2.059237,0.000000
162.0000,2.052676,0.000000
163.0000,2.046371,0.000000
164.0000,2.040307,0.000000
165.0000,2.034470,0.000000
166.0000,2.028847,0.000000
167.0000,2.023425,0.000000
168.0000,2.018195,0.000000
169.0000,2.013145,0.000000
170.0000,2.008267,0.000000
171.0000,2.003551,0.000000
172.0000,1.998990,0.000000
173.0000,1.994576,0.000000
174.0000,1.990301,0.000000
175.0000,1.986159,0.000000
176.0000,1.982144,0.000000
177.0000,1.978250,0.000000
178.0000,1.974472,0.000000
179.0000,1.970804,0.000000
180.0000,1.967241,0.000000
181.0000,1.963780,0.000000
182.0000,1.960416,0.000000
183.0000,1.957144,0.000000
184.0000,1.953961,0.000000
185.0000,1.950864,0.000000
186.0000,1.947848,0.000000
187.0000,1.944912,0.000000
188.0000,1.942051,0.000000
189.0000,1.939263,0.000000
190.0000,1.936545,0.000000
191.0000,1.933895,0.000000
192.0000,1.931309,0.000000
193.0000,1.928787,0.000000
194.0000,1.926325,0.000000
195.0000,1.923921,0.000000
196.0000,1.921573,0.000000
197.0000,1.919280,0.000000
198.0000,1.917040,0.000000
199.0000,1.914850,0.000000
200.0000,1.912709,0.000000
201.0000,1.910616,0.000000
202.0000,1.908569,0.000000
203.0000,1.906566,0.000000
204.0000,1.904607,0.000000
205.0000,1.902689,0.000000
206.0000,1.900812,0.000000
207.0000,1.898974,0.000000
208.0000,1.897173,0.000000
209.0000,1.895410,0.000000
210.0000,1.893683,0.000000
211.0000,1.891990,0.000000
212.0000,1.890331,0.000000
213.0000,1.888705,0.000000
214.0000,1.887111,0.000000
215.0000,1.885548,0.000000
216.0000,1.884014,0.000000
217.0000,1.882510,0.000000
218.0000,1.881035,0.000000
219.0000,1.879587,0.000000
220.0000,1.878166,0.000000
221.0000,1.876771,0.000000
222.0000,1.875402,0.000000
223.0000,1.874057,0.000000
224.0000,1.872737,0.000000
225.0000,1.871441,0.000000
226.0000,1.870167,0.000000
227.0000,1.868916,0.000000
228.0000,1.867687,0.000000
229.0000,1.866479,0.000000
230.0000,1.865291,0.000000
231.0000,1.864124,0.000000
232.0000,1.862977,0.000000
233.0000,1.861849,0.000000
234.0000,1.860740,0.000000
235.0000,1.859649,0.000000
236.0000,1.858576,0.000000
237.0000,1.857521,0.000000
238.0000,1.856483,0.000000
239.0000,1.855462,0.000000
240.0000,1.854457,0.000000
241.0000,1.853468,0.000000
242.0000,1.852494,0.000000
243.0000,1.851536,0.000000
