wavelength_nm,n,k
30.9963,0.916646,0.010468
31.0678,0.916203,0.010546
31.1394,0.915759,0.010625
31.2112,0.915312,0.010705
31.2831,0.914862,0.010785
31.3552,0.914411,0.010866
31.4275,0.913958,0.010947
31.5000,0.913502,0.011029
31.5726,0.913044,0.011112
31.6453,0.912584,0.011195
31.7183,0.912121,0.011279
31.7914,0.911657,0.011364
31.8647,0.911190,0.011449
31.9382,0.910721,0.011535
32.0118,0.910249,0.011621
32.0856,0.909776,0.011708
32.1595,0.909296,0.011796
32.2337,0.908820,0.011885
32.3080,0.908337,0.011974
32.3825,0.907854,0.012064
32.4571,0.907368,0.012154
32.5319,0.906882,0.012246
32.6069,0.906391,0.012338
32.6821,0.905899,0.012430
32.7574,0.905404,0.012524
32.8329,0.904904,0.012618
32.9086,0.904407,0.012713
32.9845,0.903905,0.012808
33.0605,0.903400,0.012904
33.1367,0.902894,0.013001
33.2131,0.902387,0.013099
33.2897,0.901871,0.013198
33.3664,0.901354,0.013297
33.4434,0.900840,0.013397
33.5205,0.900322,0.013498
33.5977,0.899797,0.013599
33.6752,0.899274,0.013702
33.7528,0.898748,0.013805
33.8306,0.898216,0.013909
33.9086,0.897683,0.014013
33.9868,0.897149,0.014119
34.0651,0.896612,0.014225
34.1436,0.896069,0.014332
34.2224,0.895525,0.014440
34.3012,0.894980,0.014549
34.3803,0.894438,0.014659
34.4596,0.893890,0.014769
34.5390,0.893325,0.014881
34.6186,0.892782,0.014993
34.6984,0.892205,0.015106
34.7784,0.891634,0.015220
34.8586,0.891095,0.015334
34.9390,0.890519,0.015450
35.0195,0.889933,0.015567
35.1002,0.889379,0.015684
35.1811,0.888790,0.015803
35.2622,0.888222,0.015922
35.3435,0.887643,0.016042
35.4250,0.887045,0.016163
35.5067,0.886451,0.016285
35.5885,0.885871,0.016408
35.6706,0.885277,0.016532
35.7528,0.884678,0.016657
35.8352,0.884091,0.016783
35.9178,0.883460,0.016910
36.0006,0.882874,0.017037
36.0836,0.882263,0.017166
36.1668,0.881662,0.017296
36.2502,0.881028,0.017427
36.3337,0.880430,0.017558
36.4175,0.879802,0.017691
36.5014,0.879188,0.017825
36.5856,0.878532,0.017960
36.6699,0.877932,0.018096
36.7544,0.877265,0.018233
36.8392,0.876657,0.018371
36.9241,0.876014,0.018510
37.0092,0.875368,0.018650
37.0945,0.874727,0.018791
37.1800,0.874078,0.018933
37.2658,0.873440,0.019076
37.3517,0.872774,0.019221
37.4378,0.872117,0.019367
37.5241,0.871440,0.019514
37.6106,0.870794,0.019661
37.6973,0.870109,0.019810
37.7842,0.869456,0.019960
37.8713,0.868759,0.020112
37.9586,0.868079,0.020264
38.0461,0.867398,0.020418
38.1338,0.866722,0.020573
38.2217,0.866023,0.020729
38.3098,0.865329,0.020886
38.3981,0.864646,0.021044
38.4866,0.863927,0.021204
38.5754,0.863242,0.021365
38.6643,0.862527,0.021527
38.7534,0.861828,0.021690
38.8427,0.861117,0.021855
38.9323,0.860382,0.022021
39.0220,0.859678,0.022188
39.1120,0.858935,0.022357
39.2021,0.858223,0.022526
39.2925,0.857472,0.022698
39.3831,0.856750,0.022870
39.4739,0.856010,0.023044
39.5649,0.855251,0.023219
39.6561,0.854491,0.023396
39.7475,0.853757,0.023573
39.8391,0.852999,0.023753
39.9310,0.852241,0.023933
40.0230,0.851477,0.024115
40.1153,0.850714,0.024299
40.2078,0.849955,0.024483
40.3004,0.849175,0.024669
40.3934,0.848377,0.024858
40.4865,0.847613,0.025046
40.5798,0.846813,0.025237
40.6733,0.846033,0.025429
40.7671,0.845239,0.025622
40.8611,0.844430,0.025818
40.9553,0.843629,0.026014
41.0497,0.842822,0.026212
41.1443,0.842025,0.026411
41.2392,0.841211,0.026613
41.3342,0.840378,0.026816
41.4295,0.839541,0.027020
41.5250,0.838716,0.027226
41.6207,0.837896,0.027433
41.7167,0.837047,0.027643
41.8129,0.836210,0.027853
41.9092,0.835378,0.028065
42.0059,0.834521,0.028279
42.1027,0.833661,0.028495
42.1998,0.832795,0.028713
42.2970,0.831943,0.028931
42.3945,0.831069,0.029152
42.4923,0.830197,0.029374
42.5902,0.829322,0.029598
42.6884,0.828445,0.029824
42.7868,0.827562,0.030051
