wavelength_nm,n,k
210.0000,1.538358,0.000000
211.0000,1.537277,0.000000
212.0000,1.536218,0.000000
213.0000,1.535180,0.000000
214.0000,1.534162,0.000000
215.0000,1.533164,0.000000
216.0000,1.532185,0.000000
217.0000,1.531225,0.000000
218.0000,1.530283,0.000000
219.0000,1.529359,0.000000
220.0000,1.528452,0.000000
221.0000,1.527562,0.000000
222.0000,1.526688,0.000000
223.0000,1.525831,0.000000
224.0000,1.524988,0.000000
225.0000,1.524161,0.000000
226.0000,1.523348,0.000000
227.0000,1.522550,0.000000
228.0000,1.521766,0.000000
229.0000,1.520995,0.000000
230.0000,1.520237,0.000000
231.0000,1.519493,0.000000
232.0000,1.518761,0.000000
233.0000,1.518042,0.000000
234.0000,1.517334,0.000000
235.0000,1.516639,0.000000
236.0000,1.515955,0.000000
237.0000,1.515282,0.000000
238.0000,1.514620,0.000000
239.0000,1.513968,0.000000
240.0000,1.513328,0.000000
241.0000,1.512697,0.000000
242.0000,1.512076,0.000000
243.0000,1.511466,0.000000
244.0000,1.510864,0.000000
245.0000,1.510272,0.000000
246.0000,1.509690,0.000000
247.0000,1.509116,0.000000
248.0000,1.508551,0.000000
249.0000,1.507994,0.000000
250.0000,1.507446,0.000000
251.0000,1.506906,0.000000
252.0000,1.506374,0.000000
253.0000,1.505850,0.000000
254.0000,1.505334,0.000000
255.0000,1.504825,0.000000
256.0000,1.504323,0.000000
257.0000,1.503829,0.000000
258.0000,1.503342,0.000000
259.0000,1.502862,0.000000
260.0000,1.502388,0.000000
261.0000,1.501922,0.000000
262.0000,1.501461,0.000000
263.0000,1.501008,0.000000
264.0000,1.500560,0.000000
265.0000,1.500119,0.000000
266.0000,1.499683,0.000000
267.0000,1.499254,0.000000
268.0000,1.498830,0.000000
269.0000,1.498413,0.000000
270.0000,1.498000,0.000000
271.0000,1.497594,0.000000
272.0000,1.497192,0.000000
273.0000,1.496796,0.000000
274.0000,1.496405,0.000000
275.0000,1.496019,0.000000
276.0000,1.495639,0.000000
277.0000,1.495263,0.000000
278.0000,1.494892,0.000000
279.0000,1.494525,0.000000
280.0000,1.494164,0.000000
281.0000,1.493807,0.000000
282.0000,1.493454,0.000000
283.0000,1.493106,0.000000
284.0000,1.492762,0.000000
285.0000,1.492422,0.000000
286.0000,1.492087,0.000000
287.0000,1.491756,0.000000
288.0000,1.491428,0.000000
289.0000,1.491105,0.000000
290.0000,1.490786,0.000000
291.0000,1.490470,0.000000
292.0000,1.490158,0.000000
293.0000,1.489850,0.000000
294.0000,1.489546,0.000000
295.0000,1.489245,0.000000
296.0000,1.488948,0.000000
297.0000,1.488654,0.000000
298.0000,1.488364,0.000000
299.0000,1.488077,0.000000
300.0000,1.487793,0.000000
301.0000,1.487513,0.000000
302.0000,1.487235,0.000000
303.0000,1.486961,0.000000
304.0000,1.486690,0.000000
305.0000,1.486422,0.000000
306.0000,1.486157,0.000000
307.0000,1.485895,0.000000
308.0000,1.485636,0.000000
309.0000,1.485380,0.000000
310.0000,1.485127,0.000000
311.0000,1.484876,0.000000
312.0000,1.484628,0.000000
313.0000,1.484383,0.000000
314.0000,1.484141,0.000000
315.0000,1.483901,0.000000
316.0000,1.483664,0.000000
317.0000,1.483429,0.000000
318.0000,1.483197,0.000000
319.0000,1.482967,0.000000
320.0000,1.482739,0.000000
321.0000,1.482514,0.000000
322.0000,1.482292,0.000000
323.0000,1.482072,0.000000
324.0000,1.481854,0.000000
325.0000,1.481638,0.000000
326.0000,1.481424,0.000000
327.0000,1.481213,0.000000
328.0000,1.481004,0.000000
329.0000,1.480797,0.000000
330.0000,1.480592,0.000000
331.0000,1.480389,0.000000
332.0000,1.480188,0.000000
333.0000,1.479989,0.000000
334.0000,1.479792,0.000000
335.0000,1.479597,0.000000
336.0000,1.479404,0.000000
337.0000,1.479213,0.000000
338.0000,1.479024,0.000000
339.0000,1.478837,0.000000
340.0000,1.478651,0.000000
341.0000,1.478468,0.000000
342.0000,1.478286,0.000000
343.0000,1.478106,0.000000
