wavelength_nm,n,k
206.6000,1.010000,2.909000
210.1000,1.083000,2.982000
213.8000,1.133000,3.045000
217.5000,1.186000,3.120000
221.4000,1.247000,3.206000
225.4000,1.340000,3.302000
229.6000,1.471000,3.366000
233.9000,1.579000,3.353000
238.4000,1.589000,3.354000
243.1000,1.571000,3.429000
248.0000,1.570000,3.565000
253.0000,1.597000,3.749000
258.3000,1.658000,3.979000
263.8000,1.764000,4.278000
269.5000,1.988000,4.678000
275.5000,2.452000,5.082000
281.8000,3.120000,5.344000
288.3000,4.087000,5.395000
295.2000,4.888000,4.639000
302.4000,5.020000,3.979000
310.0000,5.010000,3.586000
317.9000,5.016000,3.346000
326.3000,5.065000,3.182000
335.1000,5.156000,3.058000
344.4000,5.296000,2.987000
354.2000,5.610000,3.014000
364.7000,6.522000,2.705000
375.7000,6.709000,1.320000
387.5000,6.062000,0.630000
399.9000,5.570000,0.387000
413.3000,5.222000,0.269000
427.5000,4.961000,0.203000
442.8000,4.753000,0.163000
459.2000,4.583000,0.130000
476.9000,4.442000,0.090000
495.9000,4.320000,0.073000
516.6000,4.215000,0.060000
539.1000,4.123000,0.048000
563.6000,4.042000,0.032000
590.4000,3.969000,0.030000
619.9000,3.906000,0.022000
652.5000,3.847000,0.016000
688.8000,3.796000,0.013000
729.3000,3.752000,0.010000
774.9000,3.714000,0.008000
826.6000,3.673000,0.005000
