wavelength_nm,n,k
300.0000,2.809982,0.592784
301.0000,2.813419,0.577750
302.0000,2.816447,0.562667
303.0000,2.819065,0.547550
304.0000,2.821271,0.532415
305.0000,2.823066,0.517277
306.0000,2.824450,0.502151
307.0000,2.825424,0.487053
308.0000,2.825990,0.471999
309.0000,2.826151,0.457002
310.0000,2.825911,0.442080
311.0000,2.825273,0.427245
312.0000,2.824241,0.412513
313.0000,2.822823,0.397898
314.0000,2.821022,0.383415
315.0000,2.818847,0.369075
316.0000,2.816303,0.354894
317.0000,2.813400,0.340882
318.0000,2.810145,0.327054
319.0000,2.806546,0.313421
320.0000,2.802613,0.299994
321.0000,2.798357,0.286784
322.0000,2.793785,0.273802
323.0000,2.788909,0.261057
324.0000,2.783740,0.248560
325.0000,2.778289,0.236318
326.0000,2.772566,0.224341
327.0000,2.766583,0.212636
328.0000,2.760352,0.201211
329.0000,2.753886,0.190071
330.0000,2.747194,0.179225
331.0000,2.740291,0.168676
332.0000,2.733188,0.158431
333.0000,2.725897,0.148493
334.0000,2.718431,0.138869
335.0000,2.710803,0.129560
336.0000,2.703024,0.120570
337.0000,2.695107,0.111903
338.0000,2.687065,0.103560
339.0000,2.678910,0.095544
340.0000,2.670654,0.087855
341.0000,2.662310,0.080496
342.0000,2.653890,0.073466
343.0000,2.645406,0.066767
344.0000,2.636872,0.060398
345.0000,2.628298,0.054359
346.0000,2.619697,0.048650
347.0000,2.611082,0.043269
348.0000,2.602464,0.038216
349.0000,2.593856,0.033488
350.0000,2.585271,0.029085
351.0000,2.576720,0.025004
352.0000,2.568217,0.021243
353.0000,2.559774,0.017800
354.0000,2.551405,0.014672
355.0000,2.543123,0.011855
356.0000,2.534941,0.009348
357.0000,2.526875,0.007147
358.0000,2.518941,0.005249
359.0000,2.511155,0.003650
360.0000,2.503537,0.002345
361.0000,2.496109,0.001333
362.0000,2.488899,0.000607
363.0000,2.481942,0.000165
364.0000,2.475302,0.000001
365.0000,2.469105,0.000000
366.0000,2.463245,0.000000
367.0000,2.457644,0.000000
368.0000,2.452265,0.000000
369.0000,2.447081,0.000000
370.0000,2.442075,0.000000
371.0000,2.437230,0.000000
372.0000,2.432534,0.000000
373.0000,2.427977,0.000000
374.0000,2.423549,0.000000
375.0000,2.419242,0.000000
376.0000,2.415049,0.000000
377.0000,2.410964,0.000000
378.0000,2.406981,0.000000
379.0000,2.403094,0.000000
380.0000,2.399300,0.000000
381.0000,2.395594,0.000000
382.0000,2.391972,0.000000
383.0000,2.388430,0.000000
384.0000,2.384965,0.000000
385.0000,2.381574,0.000000
386.0000,2.378253,0.000000
387.0000,2.375001,0.000000
388.0000,2.371814,0.000000
389.0000,2.368690,0.000000
390.0000,2.365628,0.000000
391.0000,2.362623,0.000000
392.0000,2.359676,0.000000
393.0000,2.356783,0.000000
394.0000,2.353943,0.000000
395.0000,2.351155,0.000000
396.0000,2.348416,0.000000
397.0000,2.345725,0.000000
398.0000,2.343081,0.000000
399.0000,2.340482,0.000000
400.0000,2.337928,0.000000
401.0000,2.335415,0.000000
402.0000,2.332945,0.000000
403.0000,2.330514,0.000000
404.0000,2.328123,0.000000
405.0000,2.325770,0.000000
406.0000,2.323454,0.000000
407.0000,2.321174,0.000000
408.0000,2.318929,0.000000
409.0000,2.316718,0.000000
410.0000,2.314541,0.000000
411.0000,2.312397,0.000000
412.0000,2.310284,0.000000
413.0000,2.308202,0.000000
414.0000,2.306150,0.000000
415.0000,2.304128,0.000000
416.0000,2.302135,0.000000
417.0000,2.300170,0.000000
418.0000,2.298232,0.000000
419.0000,2.296322,0.000000
420.0000,2.294437,0.000000
421.0000,2.292579,0.000000
422.0000,2.290745,0.000000
423.0000,2.288936,0.000000
424.0000,2.287151,0.000000
425.0000,2.285390,0.000000
426.0000,2.283652,0.000000
427.0000,2.281936,0.000000
428.0000,2.280242,0.000000
429.0000,2.278570,0.000000
430.0000,2.276919,0.000000
431.0000,2.275290,0.000000
432.0000,2.273680,0.000000
433.0000,2.272090,0.000000
434.0000,2.270520,0.000000
435.0000,2.268969,0.000000
436.0000,2.267437,0.000000
437.0000,2.265924,0.000000
438.0000,2.264428,0.000000
439.0000,2.262951,0.000000
440.0000,2.261491,0.000000
441.0000,2.260048,0.000000
442.0000,2.258621,0.000000
443.0000,2.257212,0.000000
444.0000,2.255818,0.000000
445.0000,2.254441,0.000000
446.0000,2.253079,0.000000
447.0000,2.251733,0.000000
448.0000,2.250401,0.000000
449.0000,2.249085,0.000000
450.0000,2.247783,0.000000
451.0000,2.246495,0.000000
452.0000,2.245222,0.000000
453.0000,2.243962,0.000000
