wavelength_nm,n,k
430.0000,2.871698,0.000000
431.0000,2.868379,0.000000
432.0000,2.865103,0.000000
433.0000,2.861868,0.000000
434.0000,2.858673,0.000000
435.0000,2.855519,0.000000
436.0000,2.852405,0.000000
437.0000,2.849329,0.000000
438.0000,2.846291,0.000000
439.0000,2.843291,0.000000
440.0000,2.840327,0.000000
441.0000,2.837399,0.000000
442.0000,2.834507,0.000000
443.0000,2.831649,0.000000
444.0000,2.828825,0.000000
445.0000,2.826035,0.000000
446.0000,2.823278,0.000000
447.0000,2.820554,0.000000
448.0000,2.817861,0.000000
449.0000,2.815200,0.000000
450.0000,2.812569,0.000000
451.0000,2.809969,0.000000
452.0000,2.807398,0.000000
453.0000,2.804857,0.000000
454.0000,2.802345,0.000000
455.0000,2.799860,0.000000
456.0000,2.797404,0.000000
457.0000,2.794975,0.000000
458.0000,2.792573,0.000000
459.0000,2.790198,0.000000
460.0000,2.787849,0.000000
461.0000,2.785525,0.000000
462.0000,2.783227,0.000000
463.0000,2.780954,0.000000
464.0000,2.778705,0.000000
465.0000,2.776480,0.000000
466.0000,2.774279,0.000000
467.0000,2.772102,0.000000
468.0000,2.769947,0.000000
469.0000,2.767816,0.000000
470.0000,2.765706,0.000000
471.0000,2.763619,0.000000
472.0000,2.761553,0.000000
473.0000,2.759509,0.000000
474.0000,2.757485,0.000000
475.0000,2.755482,0.000000
476.0000,2.753500,0.000000
477.0000,2.751538,0.000000
478.0000,2.749596,0.000000
479.0000,2.747673,0.000000
480.0000,2.745769,0.000000
481.0000,2.743885,0.000000
482.0000,2.742019,0.000000
483.0000,2.740171,0.000000
484.0000,2.738342,0.000000
485.0000,2.736531,0.000000
486.0000,2.734737,0.000000
487.0000,2.732961,0.000000
488.0000,2.731202,0.000000
489.0000,2.729460,0.000000
490.0000,2.727734,0.000000
491.0000,2.726025,0.000000
492.0000,2.724333,0.000000
493.0000,2.722656,0.000000
494.0000,2.720995,0.000000
495.0000,2.719350,0.000000
496.0000,2.717720,0.000000
497.0000,2.716105,0.000000
498.0000,2.714506,0.000000
499.0000,2.712921,0.000000
500.0000,2.711350,0.000000
501.0000,2.709794,0.000000
502.0000,2.708253,0.000000
503.0000,2.706725,0.000000
504.0000,2.705211,0.000000
505.0000,2.703711,0.000000
506.0000,2.702224,0.000000
507.0000,2.700751,0.000000
508.0000,2.699290,0.000000
509.0000,2.697843,0.000000
510.0000,2.696409,0.000000
511.0000,2.694987,0.000000
512.0000,2.693577,0.000000
513.0000,2.692180,0.000000
514.0000,2.690796,0.000000
515.0000,2.689423,0.000000
516.0000,2.688062,0.000000
517.0000,2.686713,0.000000
518.0000,2.685375,0.000000
519.0000,2.684049,0.000000
520.0000,2.682734,0.000000
521.0000,2.681430,0.000000
522.0000,2.680137,0.000000
523.0000,2.678856,0.000000
524.0000,2.677585,0.000000
525.0000,2.676324,0.000000
526.0000,2.675075,0.000000
527.0000,2.673835,0.000000
528.0000,2.672606,0.000000
529.0000,2.671387,0.000000
530.0000,2.670178,0.000000
531.0000,2.668979,0.000000
532.0000,2.667789,0.000000
533.0000,2.666610,0.000000
534.0000,2.665440,0.000000
535.0000,2.664279,0.000000
536.0000,2.663128,0.000000
537.0000,2.661986,0.000000
538.0000,2.660853,0.000000
539.0000,2.659729,0.000000
540.0000,2.658614,0.000000
541.0000,2.657508,0.000000
542.0000,2.656411,0.000000
543.0000,2.655322,0.000000
544.0000,2.654242,0.000000
545.0000,2.653170,0.000000
546.0000,2.652107,0.000000
547.0000,2.651052,0.000000
548.0000,2.650005,0.000000
549.0000,2.648966,0.000000
550.0000,2.647935,0.000000
551.0000,2.646912,0.000000
552.0000,2.645897,0.000000
553.0000,2.644889,0.000000
554.0000,2.643890,0.000000
555.0000,2.642897,0.000000
556.0000,2.641913,0.000000
557.0000,2.640935,0.000000
558.0000,2.639965,0.000000
559.0000,2.639003,0.000000
560.0000,2.638047,0.000000
561.0000,2.637099,0.000000
562.0000,2.636157,0.000000
563.0000,2.635223,0.000000
564.0000,2.634295,0.000000
565.0000,2.633374,0.000000
566.0000,2.632460,0.000000
567.0000,2.631553,0.000000
568.0000,2.630652,0.000000
569.0000,2.629758,0.000000
570.0000,2.628870,0.000000
571.0000,2.627988,0.000000
572.0000,2.627113,0.000000
573.0000,2.626244,0.000000
574.0000,2.625382,0.000000
575.0000,2.624525,0.000000
576.0000,2.623675,0.000000
577.0000,2.622830,0.000000
578.0000,2.621992,0.000000
579.0000,2.621159,0.000000
580.0000,2.620333,0.000000
581.0000,2.619512,0.000000
582.0000,2.618697,0.000000
583.0000,2.617887,0.000000
584.0000,2.617083,0.000000
585.0000,2.616285,0.000000
586.0000,2.615492,0.000000
587.0000,2.614705,0.000000
588.0000,2.613923,0.000000
589.0000,2.613146,0.000000
590.0000,2.612375,0.000000
591.0000,2.611609,0.000000
592.0000,2.610848,0.000000
593.0000,2.610092,0.000000
594.0000,2.609341,0.000000
595.0000,2.608596,0.000000
596.0000,2.607855,0.000000
597.0000,2.607119,0.000000
598.0000,2.606389,0.000000
599.0000,2.605663,0.000000
600.0000,2.604942,0.000000
601.0000,2.604225,0.000000
602.0000,2.603514,0.000000
603.0000,2.602807,0.000000
604.0000,2.602105,0.000000
605.0000,2.601407,0.000000
606.0000,2.600714,0.000000
607.0000,2.600025,0.000000
608.0000,2.599341,0.000000
609.0000,2.598661,0.000000
610.0000,2.597986,0.000000
611.0000,2.597315,0.000000
612.0000,2.596649,0.000000
613.0000,2.595986,0.000000
614.0000,2.595328,0.000000
615.0000,2.594674,0.000000
616.0000,2.594024,0.000000
617.0000,2.593379,0.000000
618.0000,2.592737,0.000000
619.0000,2.592100,0.000000
620.0000,2.591466,0.000000
621.0000,2.590837,0.000000
622.0000,2.590211,0.000000
623.0000,2.589589,0.000000
624.0000,2.588971,0.000000
625.0000,2.588358,0.000000
626.0000,2.587747,0.000000
627.0000,2.587141,0.000000
628.0000,2.586538,0.000000
629.0000,2.585939,0.000000
630.0000,2.585344,0.000000
631.0000,2.584753,0.000000
632.0000,2.584165,0.000000
633.0000,2.583580,0.000000
634.0000,2.582999,0.000000
635.0000,2.582422,0.000000
636.0000,2.581848,0.000000
637.0000,2.581278,0.000000
638.0000,2.580711,0.000000
639.0000,2.580147,0.000000
640.0000,2.579587,0.000000
641.0000,2.579030,0.000000
642.0000,2.578477,0.000000
643.0000,2.577927,0.000000
644.0000,2.577380,0.000000
645.0000,2.576836,0.000000
646.0000,2.576295,0.000000
647.0000,2.575758,0.000000
648.0000,2.575224,0.000000
649.0000,2.574693,0.000000
650.0000,2.574165,0.000000
651.0000,2.573640,0.000000
652.0000,2.573118,0.000000
653.0000,2.572600,0.000000
654.0000,2.572084,0.000000
655.0000,2.571571,0.000000
656.0000,2.571061,0.000000
657.0000,2.570555,0.000000
658.0000,2.570051,0.000000
659.0000,2.569550,0.000000
660.0000,2.569051,0.000000
661.0000,2.568556,0.000000
662.0000,2.568064,0.000000
663.0000,2.567574,0.000000
664.0000,2.567087,0.000000
665.0000,2.566603,0.000000
666.0000,2.566121,0.000000
667.0000,2.565642,0.000000
668.0000,2.565166,0.000000
669.0000,2.564693,0.000000
670.0000,2.564222,0.000000
671.0000,2.563754,0.000000
672.0000,2.563289,0.000000
673.0000,2.562826,0.000000
674.0000,2.562365,0.000000
675.0000,2.561907,0.000000
676.0000,2.561452,0.000000
677.0000,2.560999,0.000000
678.0000,2.560549,0.000000
679.0000,2.560101,0.000000
680.0000,2.559656,0.000000
681.0000,2.559213,0.000000
682.0000,2.558772,0.000000
683.0000,2.558334,0.000000
684.0000,2.557898,0.000000
685.0000,2.557465,0.000000
686.0000,2.557034,0.000000
687.0000,2.556605,0.000000
688.0000,2.556179,0.000000
689.0000,2.555755,0.000000
690.0000,2.555333,0.000000
691.0000,2.554913,0.000000
692.0000,2.554496,0.000000
693.0000,2.554081,0.000000
694.0000,2.553668,0.000000
695.0000,2.553257,0.000000
696.0000,2.552848,0.000000
697.0000,2.552442,0.000000
698.0000,2.552038,0.000000
699.0000,2.551635,0.000000
700.0000,2.551235,0.000000
701.0000,2.550837,0.000000
702.0000,2.550441,0.000000
703.0000,2.550048,0.000000
704.0000,2.549656,0.000000
705.0000,2.549266,0.000000
706.0000,2.548878,0.000000
707.0000,2.548493,0.000000
708.0000,2.548109,0.000000
709.0000,2.547727,0.000000
710.0000,2.547347,0.000000
711.0000,2.546970,0.000000
712.0000,2.546594,0.000000
713.0000,2.546220,0.000000
714.0000,2.545848,0.000000
715.0000,2.545478,0.000000
716.0000,2.545109,0.000000
717.0000,2.544743,0.000000
718.0000,2.544378,0.000000
719.0000,2.544016,0.000000
720.0000,2.543655,0.000000
721.0000,2.543296,0.000000
722.0000,2.542938,0.000000
723.0000,2.542583,0.000000
724.0000,2.542229,0.000000
725.0000,2.541877,0.000000
726.0000,2.541527,0.000000
727.0000,2.541178,0.000000
728.0000,2.540832,0.000000
729.0000,2.540487,0.000000
730.0000,2.540143,0.000000
731.0000,2.539802,0.000000
732.0000,2.539462,0.000000
